Family,ndc407,ndc408,ndc409,ndc410,ndc411,ndc412,ndc413,ndc414,ndc415,ndc416,ndc417,ndc418,ndc419,ndc420,ndc421,ndc422,ndc423,ndc424,ndc425,ndc426,ndc427,ndc428,ndc429,ndc430,ndc431,ndc432,ndc433,ndc434,ndc435,ndc436,ndc437,ndc438,ndc439,ndc440,ndc441,ndc442,ndc443,ndc444,ndc445,ndc446,ndc447,ndc448,ndc449,ndc450,ndc451,ndc452,ndc453,ndc454,ndc455,ndc456,ndc457,ndc458,ndc459,ndc460,ndc461,ndc462,ndc463,ndc464,ndc465,ndc466,ndc467,ndc468,ndc469,ndc471,ndc470,ndc472,ndc473,ndc474,ndc475
Acidaminococcaceae,502,592,314,531,372,68,620,287,2923,0,0,1621,1308,174,955,907,2077,694,207,633,5266,1550,0,1675,2504,0,5261,5238,2445,815,1903,3679,894,1204,0,0,2581,162,631,642,608,983,0,76,1051,1521,1438,847,280,510,666,0,0,303,0,446,1209,505,545,1653,1384,1079,204,365,264,192,189,914,606
Actinomycetaceae,0,0,0,0,0,0,0,7,0,17,65,8,4,4,16,0,0,56,15,15,0,0,0,0,0,0,0,0,0,0,0,19,0,7,4,11,0,0,12,0,0,0,0,0,16,14,87,0,0,0,6,18,0,0,0,11,0,25,0,82,102,0,0,0,0,0,0,0,0
Alcaligenaceae,23,83,35,236,647,84,318,302,1611,1081,0,0,269,249,403,819,520,657,235,316,440,2122,0,2704,136,0,162,377,223,150,1022,235,257,124,0,0,650,89,1388,952,282,89,0,184,3002,1371,47,3786,1074,241,139,0,0,222,50,230,58,406,66,762,559,27,94,193,31,180,352,392,235
Bacteroidaceae,124,4024,2226,3582,12295,797,9121,8525,0,163,0,8394,26041,5059,13278,13193,3351,32782,4578,13870,17880,36468,0,12724,8977,0,8872,15835,3356,3279,25527,15851,12973,11169,0,0,4552,1083,20825,0,5379,6067,0,6434,15763,39,1466,0,13755,26,276,7,10388,6887,0,10344,5821,3105,670,21980,13712,420,2704,2946,1801,6218,3466,15718,16187
Bacteroidales_S24-7_group,0,0,0,2156,8578,0,0,0,0,0,0,0,0,0,0,0,0,1590,0,0,0,0,0,0,0,0,0,0,0,0,5957,0,829,1905,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1028,0,0,0,0,0,0,0,1371,0,4974,0,0,0
Bifidobacteriaceae,153,226,399,816,756,33,404,435,0,35,6,6,0,0,49,178,33,69,1596,0,659,47,0,209,6879,0,2425,806,97,633,25,2245,431,440,0,1637,6905,3,248,0,330,533,0,0,38,41,0,0,1115,0,0,0,0,85,0,35,1552,3465,552,2,5344,315,146,617,267,171,119,165,82
Burkholderiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campylobacteraceae,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529,0,0,7,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carnobacteriaceae,0,0,0,0,0,0,0,0,0,0,124,8,37,0,0,0,0,38,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,29,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christensenellaceae,2410,3204,4827,2335,5872,1018,3962,4943,0,0,0,157,1852,683,0,31,0,2332,3788,417,4524,34,0,51,9038,0,90,0,2597,4108,409,587,18,145,0,0,533,78,10,166,377,1401,0,512,54,0,625,0,84,0,2497,0,0,50,0,69,1934,241,3207,1925,1889,2604,1968,1529,3159,794,2726,944,465
Clostridiaceae_1,70,0,0,67,126,20,90,43,0,5287,0,59,93,241,0,12,0,129,50,795,595,220,520,206,38,0,0,40,155,444,564,0,140,0,0,186,4187,11,2078,0,96,46,91,0,3254,16,159,65,106,33,288,24,32,69,0,230,15,799,483,208,1229,302,0,48,0,31,120,0,14
Clostridiales_vadinBB60_group,54,0,0,27,151,246,0,0,0,0,0,0,28,0,0,0,4,16,84,25,182,33,227,0,0,0,0,0,0,74,0,0,0,0,4,0,149,0,0,0,0,16,353,21,0,348,0,44,114,263,0,0,0,0,4,0,0,31,22,0,232,204,0,21,0,30,807,14,0
Coriobacteriaceae,49,97,278,54,8,15,47,153,0,0,136,9,79,58,128,147,0,38,76,110,116,147,0,20,631,0,69,9,175,169,23,123,0,34,0,178,0,9,9,0,52,23,0,51,7,2,112,12,26,0,74,0,0,19,0,0,202,0,320,506,419,114,70,11,208,0,20,12,15
Corynebacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Defluviitaleaceae,19,1,25,0,5,2,24,0,0,0,0,0,0,0,0,0,0,0,16,0,14,5,0,0,35,0,0,0,23,0,0,90,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,18,106,34,38,0,4,24,0,5,33,12
Desulfovibrionaceae,91,0,10,54,60,25,0,9,0,0,0,637,1250,840,471,603,240,214,165,262,938,729,622,627,331,0,146,116,282,281,609,367,466,157,2537,1322,413,35,484,329,152,166,0,367,1041,610,159,607,294,364,94,0,1511,137,277,160,276,288,84,1182,1294,407,0,46,7,14,155,0,0
Enterobacteriaceae,0,0,0,0,0,0,0,0,523,0,0,0,0,0,65,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,328,0,128,0,653,711,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,78,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterococcaceae,0,0,0,0,0,0,0,0,3340,90,0,0,0,0,0,0,278,0,0,0,2467,0,1587,337,0,0,0,0,0,0,0,0,0,37,0,320,278,0,0,0,0,248,40,0,0,0,0,0,0,0,0,0,1932,0,0,0,0,95,0,0,80,0,0,0,0,0,0,0,0
Erysipelotrichaceae,70,155,217,94,318,205,293,321,0,4589,5110,727,167,62,1175,657,107,2390,54,661,496,2546,1520,1800,1529,0,1167,1307,179,737,2752,487,198,660,0,5910,7983,31,673,538,246,105,123,724,432,35,97,7345,324,0,301,192,0,816,500,328,2099,2540,880,881,10110,179,54,37,45,49,742,202,210
Eubacteriaceae,0,0,0,0,0,0,0,0,0,0,0,10,0,52,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0
Family_XI,0,0,0,0,0,0,0,0,0,25,0,0,15,0,0,0,0,22,23,0,5,0,0,0,0,0,73,0,0,3,0,0,0,0,0,71,0,0,0,0,0,5,0,0,36,0,1584,0,0,0,6,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0
Family_XIII,135,90,134,88,30,18,127,86,0,0,0,15,0,0,69,321,0,25,14,0,162,188,0,48,535,0,70,0,133,1361,144,848,49,94,0,0,3421,0,0,0,22,60,0,124,130,0,257,12,71,0,238,0,0,15,92,63,347,1061,1446,1932,3494,316,24,44,49,10,70,66,40
Fusobacteriaceae,0,0,0,0,0,0,0,0,28163,5205,43457,1148,662,50,102,684,5990,35,0,212,0,207,0,0,0,0,0,9,0,0,0,0,465,0,0,57,0,0,307,0,0,0,6488,0,22,0,467,0,611,0,0,0,3821,0,32,0,0,0,0,509,28,0,0,0,0,0,0,0,0
Lachnospiraceae,4149,16650,12703,18212,27873,1446,29823,25817,0,19514,5596,7693,14879,5608,5972,2871,129,17716,6140,11031,8913,15599,7753,3856,8612,10,13119,12799,4823,3869,12433,4964,5541,7385,14,12949,12719,705,8230,4740,3114,4337,193,5199,5162,54,2967,29597,10242,413,4571,159,0,3182,4523,6292,5064,4713,6068,16814,12712,7611,9588,10997,8630,6935,5341,9865,3732
Lactobacillaceae,0,0,0,15,0,0,0,0,644,984,2177,0,0,0,28,141,756,19,265,0,601,794,493,252,0,9854,0,0,0,0,0,0,256,0,1585,65,31,0,0,0,0,160,2469,58,0,1171,0,43,228,395,35,1567,116,0,0,0,0,26,0,66,53,0,0,14,0,0,0,0,0
Leptotrichiaceae,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leuconostocaceae,0,0,35,11,8,0,0,8,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,16,0,0,0,6,0,0,0,0
Methanobacteriaceae,192,0,0,455,94,7,0,0,0,0,0,35,0,0,0,0,0,0,157,0,738,0,0,0,0,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,502,0,240,0,26,23,0,0
Micrococcaceae,0,0,0,0,0,0,0,0,0,61,42,0,12,0,10,0,0,161,0,15,60,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neisseriaceae,0,0,0,0,0,0,0,0,0,0,554,24,16,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oxalobacteraceae,20,0,0,50,13,0,0,0,0,0,0,0,15,0,12,27,9,0,14,0,38,35,0,18,0,0,0,0,21,57,4,0,16,0,0,0,0,0,0,11,14,0,0,18,0,18,9,10,0,0,0,0,0,0,0,0,14,0,41,61,58,76,0,19,0,0,17,0,0
Pasteurellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peptococcaceae,28,74,12,83,0,0,231,139,0,0,0,62,296,184,0,0,0,0,0,92,87,0,0,0,73,0,0,0,63,27,0,59,33,0,0,0,318,0,0,0,0,26,0,24,0,0,22,0,39,0,0,0,0,0,0,0,0,71,49,87,155,33,55,10,19,10,8,56,34
Peptostreptococcaceae,102,144,189,257,727,20,272,542,0,553,0,106,473,170,32,85,16,427,1086,361,174,193,0,396,1283,0,267,286,0,1616,26,830,182,206,0,3082,242,0,0,288,79,146,134,294,59,0,114,2107,142,0,1090,0,0,2,232,3,162,85,3837,81,484,736,157,244,102,448,114,359,558
Planococcaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,0,0,0,0,0,0,1456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,0,0,1629,0,0,0,0,0,0,0,0
Porphyromonadaceae,297,672,233,917,1408,335,1524,1451,0,0,0,8004,2452,38,2583,2423,2454,2962,1706,967,5081,3359,0,987,1940,0,377,0,274,834,2951,1146,1125,1094,0,15,0,175,3443,0,1344,912,3774,4748,1287,27383,65,8952,7138,6087,28,0,0,833,1683,1489,531,121,81,2725,1728,1040,301,763,156,560,1600,1879,1756
Prevotellaceae,153,0,0,0,0,634,0,0,195,26,317,1582,4326,143,0,3,0,0,405,1117,804,0,0,23485,0,0,0,0,1580,0,0,0,0,0,0,64,0,1639,0,0,992,1982,204,0,0,21,0,144,24975,37,0,13,0,0,0,0,0,30,0,0,153,323,0,0,0,0,3110,0,0
Rhodospirillaceae,0,0,0,0,0,29,57,87,0,0,0,0,271,363,216,645,3,0,0,242,0,265,0,0,397,0,0,0,9,24,0,5,0,0,0,0,0,0,0,0,237,14,0,0,0,0,29,0,0,0,4,0,0,0,0,0,36,0,0,66,0,0,0,0,0,0,71,17,5
Rikenellaceae,29,43,58,129,146,0,16,38,0,0,0,23,0,0,51,44,0,22,120,9,513,93,0,144,100,0,35,0,49,236,135,79,26,45,0,0,0,9,0,0,0,108,0,43,0,0,0,0,57,0,0,0,0,0,0,16,55,0,92,93,195,83,37,125,53,87,30,37,62
Ruminococcaceae,11624,21367,20575,16002,39368,5220,35977,33303,0,3507,384,14235,47514,16858,10912,4337,231,17871,24134,14225,35082,23727,2530,3929,24087,0,1104,301,15413,11030,13257,15776,3389,9749,0,7964,31050,2371,6078,4922,6567,14058,0,7932,5102,132,8771,10901,11092,83,8947,650,0,4737,10237,4076,9179,14545,11796,68538,39501,28466,10801,10204,12207,8340,16193,14789,5975
Streptococcaceae,0,760,753,175,203,0,696,434,0,1027,2184,143,903,429,805,43,17,1976,123,387,353,426,0,0,74,35,0,16,105,37,277,112,19,510,788,78,48,14,211,190,32,35,69,185,791,276,91,431,401,63,655,1336,0,106,47,234,20,103,19,320,72,0,310,31,171,23,8,118,31
Synergistaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,19,0,0,0,0,0,17,0,0,0,0,0,0,0,353,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,177,0,359,0,0,0,0,0,0,0,0
Veillonellaceae,3508,63,55,897,710,186,156,124,6990,1138,6378,130,122,70,0,67,2480,561,1105,223,0,754,1652,443,6,15357,939,802,0,0,60,0,219,53,5485,2216,173,6,1369,13,116,393,13448,1642,176,600,49,243,9586,35,68,1706,8233,0,301,80,0,46,7,32,3,6329,24,591,28,164,541,78,52
Verrucomicrobiaceae,1011,41,49,1154,653,202,0,13,0,42841,3,7237,1043,10135,9037,14837,11096,181,0,10210,33,0,11475,1245,12089,0,7571,7458,3554,13732,5918,30942,11371,1151,15237,33952,20,102,9303,11414,7029,131,34535,2719,14249,20109,10691,8158,25676,19775,4335,11,0,4526,0,5239,10723,0,15228,24299,70404,3061,18,826,36,181,865,0,0
Victivallaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,89,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
vadinBE97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
