Genus,ndc407,ndc408,ndc409,ndc410,ndc411,ndc412,ndc413,ndc414,ndc415,ndc416,ndc417,ndc418,ndc419,ndc420,ndc421,ndc422,ndc423,ndc424,ndc425,ndc426,ndc427,ndc428,ndc429,ndc430,ndc431,ndc432,ndc433,ndc434,ndc435,ndc436,ndc437,ndc438,ndc439,ndc440,ndc441,ndc442,ndc443,ndc444,ndc445,ndc446,ndc447,ndc448,ndc449,ndc450,ndc451,ndc452,ndc453,ndc454,ndc455,ndc456,ndc457,ndc458,ndc459,ndc460,ndc461,ndc462,ndc463,ndc464,ndc465,ndc466,ndc467,ndc468,ndc469,ndc471,ndc470,ndc472,ndc473,ndc474,ndc475
Acetanaerobacterium,0,0,0,0,0,0,0,0,0,0,0,9,0,0,13,0,0,0,0,5,0,14,0,2,25,0,0,0,10,33,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,39,73,24,1,0,0,9,0,0,0,0
Acidaminococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,3337,0,0,490,1070,0,4774,5238,0,0,0,2484,0,0,0,0,0,0,0,0,0,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551,0,0,0,0,0,0,0,0,0,0,0,0
Actinomyces,0,0,0,0,0,0,0,7,0,17,65,8,4,4,16,0,0,56,15,15,0,0,0,0,0,0,0,0,0,0,0,19,0,7,4,11,0,0,12,0,0,0,0,0,16,14,87,0,0,0,0,18,0,0,0,11,0,0,0,56,0,0,0,0,0,0,0,0,0
Adlercreutzia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,22,0,10,0,0,17,0,0,0,0,0,0,0,20,0,11,0,0,0,0,0,0,0,0,0,0,0,0,38,7,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akkermansia,1011,41,49,1154,653,202,0,13,0,42841,3,7237,1043,10135,9037,14837,11096,181,0,10210,33,0,11475,1245,12089,0,7571,7458,3554,13732,5918,30942,11371,1151,15237,33952,20,102,9303,11414,7029,131,34535,2719,14249,20109,10691,8158,25676,19775,4335,11,0,4526,0,5239,10723,0,15228,24299,70404,3061,18,826,36,181,865,0,0
Alistipes,29,43,58,129,146,0,16,38,0,0,0,23,0,0,51,44,0,22,120,9,513,93,0,144,100,0,35,0,49,236,135,79,26,45,0,0,0,9,0,0,0,108,0,43,0,0,0,0,57,0,0,0,0,0,0,16,55,0,92,93,195,83,37,125,53,87,30,37,62
Allisonella,0,0,0,0,0,0,84,57,0,0,0,0,0,0,0,16,26,0,0,0,0,81,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,40,0,0,0,0,20,0,211,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,43
Anaerococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,73,0,0,3,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,1584,0,0,0,6,0,0,0,0,0,0,0,0,365,0,0,0,0,0,0,0,0,0
Anaerofilum,29,25,27,8,3,0,13,14,0,89,0,1004,919,1054,226,421,160,44,20,52,73,522,304,194,493,0,76,0,75,1551,58,533,29,119,0,0,7869,13,0,26,21,35,0,12,56,62,33,208,402,0,28,16,0,36,0,17,535,5848,1174,1065,10159,98,4,13,21,2,18,0,0
Anaerofustis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0
Anaeroglobus,0,0,0,0,0,0,0,0,4496,0,0,0,0,0,0,38,1588,0,0,0,0,0,0,0,0,0,456,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerotruncus,981,112,201,36,36,160,137,213,0,0,384,115,28,25,238,5,0,40,523,84,2274,201,100,73,2440,0,22,0,79,455,24,838,27,58,0,0,713,10,5,457,112,360,0,191,141,0,62,106,124,0,51,0,0,34,265,34,595,241,545,1844,424,3490,52,20,160,0,548,85,61
Atopobium,0,0,0,0,0,0,0,0,0,0,136,9,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides,124,4024,2226,3582,12295,797,9121,8525,0,163,0,8394,26041,5059,13278,13193,3351,32782,4578,13870,17880,36468,0,12724,8977,0,8872,15835,3356,3279,25527,15851,12973,11169,0,0,4552,1083,20825,0,5379,6067,0,6434,15763,39,1466,0,13755,26,276,7,10388,6887,0,10344,5821,3105,670,21980,13712,420,2704,2946,1801,6218,3466,15718,16187
Barnesiella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bifidobacterium,153,226,399,816,756,33,404,435,0,35,0,6,0,0,49,178,33,69,1596,0,659,47,0,209,6879,0,2425,806,97,633,16,2245,431,440,0,1637,6905,3,248,0,330,533,0,0,38,41,0,0,1115,0,0,0,0,75,0,35,1552,3465,552,0,5344,315,146,617,267,171,119,165,82
Bilophila,44,0,10,54,60,25,0,9,0,0,0,425,849,234,410,496,240,214,101,118,515,321,0,224,331,0,146,116,181,144,609,367,466,157,2537,1322,0,35,484,218,132,93,0,367,1041,408,120,607,294,364,94,0,1511,137,277,160,276,0,35,896,254,209,0,46,7,14,103,0,0
Blautia,424,900,1408,508,782,155,689,697,0,245,0,799,1893,375,903,662,0,298,1233,363,837,2224,68,254,2421,0,682,493,890,140,1093,511,382,1228,0,2015,519,96,459,190,243,405,193,1269,215,0,1635,278,127,0,2364,112,0,250,857,283,538,147,5,3621,218,565,600,208,703,160,437,79,29
Brenneria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butyricicoccus,94,618,587,321,170,18,589,468,0,313,0,492,488,5,329,59,0,21,50,163,148,601,0,74,82,0,223,0,35,9,260,131,196,133,0,0,0,0,214,0,18,37,0,312,96,0,151,78,0,0,77,0,0,40,21,68,54,0,8,78,65,321,422,137,490,55,53,309,178
Butyricimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,33,0,0,46,49,220,37,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,15,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,29,96,22,0,0,0,0,52,0,0
Campylobacter,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529,0,0,7,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Soleaferrea,0,0,0,0,0,0,6,11,0,0,0,16,0,14,8,6,0,16,0,23,29,5,0,0,6,0,4,0,5,21,9,13,0,1,0,0,41,0,0,20,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,6,0,41,55,0,0,0,0,0,0,0,0
Candidatus_Stoquefichus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,71,7,0,0,0,0,0,0,0,0
Caproiciproducens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,35,314,0,0,0,0,0,0,0,0
Catabacter,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,52,0,0,0,26,0,0,0,0,26,0,30,0,0,0,0,0,0,0,0,11,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,56,45,85,0,0,0,0,0,0,0,0
