Family,ndc407,ndc408,ndc409,ndc410,ndc411,ndc412,ndc413,ndc414,ndc415,ndc416,ndc417,ndc418,ndc419,ndc420,ndc421,ndc422,ndc423,ndc424,ndc425,ndc426,ndc427,ndc428,ndc429,ndc430,ndc431,ndc432,ndc433,ndc434,ndc435,ndc436,ndc437,ndc438,ndc439,ndc440,ndc441,ndc442,ndc443,ndc444,ndc445,ndc446,ndc447,ndc448,ndc449,ndc450,ndc451,ndc452,ndc453,ndc454,ndc455,ndc456,ndc457,ndc458,ndc459,ndc460,ndc461,ndc462,ndc463,ndc464,ndc465,ndc466,ndc467,ndc468,ndc469,ndc471,ndc470,ndc472,ndc473,ndc474,ndc475
Acidaminococcaceae,502,592,314,531,372,68,620,287,2923,0,0,1621,1308,174,955,907,2077,694,207,633,5266,1550,0,1675,2504,0,5261,5238,2445,815,1903,3679,894,1204,0,0,2581,162,631,642,608,983,0,76,1051,1521,1438,847,280,510,666,0,0,303,0,446,1209,505,545,1653,1384,1079,204,365,264,192,189,914,606
Actinomycetaceae,0,0,0,0,0,0,0,7,0,17,65,8,4,4,16,0,0,56,15,15,0,0,0,0,0,0,4,0,0,7,0,19,0,7,4,21,0,0,12,0,0,3,0,0,16,14,87,0,0,0,6,18,0,0,0,11,0,25,0,82,102,0,0,0,0,0,0,0,0
Alcaligenaceae,23,83,35,236,658,84,318,302,1611,1081,0,0,269,249,403,819,520,657,235,316,440,2122,38,2704,136,0,162,459,223,150,1022,235,257,124,0,0,650,89,1388,952,282,89,0,184,3002,1371,47,3786,1074,241,139,0,0,222,50,230,58,406,66,762,559,27,94,193,31,180,352,392,235
Bacteroidaceae,124,4024,2226,3582,12295,797,9121,8525,0,163,0,8394,26041,5059,13278,13193,3351,32782,4578,13870,17880,36468,0,12724,8977,0,8872,15835,3356,3279,25527,15851,12973,11169,0,0,4552,1083,20825,0,5379,6067,0,6434,15763,39,1466,0,13755,26,276,7,10388,6887,0,10348,5821,3105,670,21980,13712,420,2704,2946,1801,6218,3466,15718,16187
Bifidobacteriaceae,153,226,399,816,756,33,409,435,0,35,6,6,0,0,49,178,33,69,1596,0,659,47,0,209,6879,0,2425,806,97,633,25,2245,438,440,0,1637,6905,3,248,0,330,533,0,17,38,41,0,0,1115,0,0,0,0,85,0,35,1552,3465,552,2,5344,315,146,617,267,171,119,165,82
Christensenellaceae,2462,3204,4827,2335,5872,1018,3962,4943,0,0,0,157,1870,683,0,31,0,2332,3788,417,4550,34,0,51,9038,0,90,0,2597,4115,419,591,18,145,0,0,538,78,10,166,381,1429,0,524,54,0,625,23,84,0,2497,0,0,54,0,69,1934,241,3257,1925,1942,2632,1968,1529,3159,794,2788,944,466
Clostridiaceae_1,70,0,0,67,126,20,90,43,0,6296,0,59,93,241,0,12,0,129,50,795,595,220,520,206,38,0,0,40,155,444,564,0,140,0,0,186,4187,11,2078,20,96,46,91,0,3441,16,163,95,106,33,288,28,32,69,45,230,15,799,483,208,1231,353,0,48,0,31,121,0,14
Clostridiales_vadinBB60_group,54,0,0,27,178,246,0,0,0,0,0,0,28,0,0,0,4,16,84,25,195,33,256,15,0,0,0,0,0,74,0,9,0,0,4,0,149,0,0,0,0,16,353,21,0,348,0,51,114,263,0,0,0,0,4,0,0,60,22,0,232,209,0,21,0,30,817,14,0
Coriobacteriaceae,49,97,278,54,8,15,47,153,0,4,136,9,106,58,128,156,0,38,76,110,125,147,0,20,631,0,69,9,175,169,23,123,0,34,0,178,0,9,9,0,52,23,0,51,7,2,120,12,26,0,77,0,0,19,0,0,202,0,330,506,419,114,70,11,208,0,20,12,15
Defluviitaleaceae,19,1,25,0,5,2,24,0,0,0,0,0,0,0,0,0,0,14,16,0,14,5,0,0,35,0,0,0,23,0,0,90,0,6,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,45,0,0,0,0,0,0,0,18,106,34,38,0,4,24,0,5,33,12
Desulfovibrionaceae,91,0,10,54,60,25,0,9,0,0,0,637,1250,840,471,603,240,214,165,262,938,729,622,627,331,0,146,116,282,281,609,367,466,157,2537,1322,413,35,484,329,152,166,0,367,1041,610,159,607,294,409,94,0,1511,137,277,160,741,288,84,1182,1294,407,0,46,7,14,155,0,0
