Order,ndc407,ndc408,ndc409,ndc410,ndc411,ndc412,ndc413,ndc414,ndc415,ndc416,ndc417,ndc418,ndc419,ndc420,ndc421,ndc422,ndc423,ndc424,ndc425,ndc426,ndc427,ndc428,ndc429,ndc430,ndc431,ndc432,ndc433,ndc434,ndc435,ndc436,ndc437,ndc438,ndc439,ndc440,ndc441,ndc442,ndc443,ndc444,ndc445,ndc446,ndc447,ndc448,ndc449,ndc450,ndc451,ndc452,ndc453,ndc454,ndc455,ndc456,ndc457,ndc458,ndc459,ndc460,ndc461,ndc462,ndc463,ndc464,ndc465,ndc466,ndc467,ndc468,ndc469,ndc471,ndc470,ndc472,ndc473,ndc474,ndc475
Actinomycetales,0,0,0,0,0,0,0,7,0,17,65,8,4,4,16,0,0,56,15,15,0,0,0,0,0,0,4,0,0,7,0,19,0,7,4,21,0,0,12,0,0,3,0,0,16,14,87,0,0,0,6,18,0,0,0,11,0,25,0,82,102,0,0,0,0,0,0,0,0
Bacteroidales,603,4739,2517,6784,22427,1766,10661,10014,198,389,317,18003,33685,5240,16295,15663,5805,37356,6856,15963,24278,39920,0,37340,11017,0,9331,15867,5259,4349,36140,17076,14953,14213,36,87,4552,2906,24286,1459,7731,9281,5378,11225,17050,27443,1531,12611,45974,6150,304,26,10388,7720,1683,13391,6407,3294,843,24801,15788,1866,3042,5205,2010,11839,8206,17634,18005
Bifidobacteriales,153,226,399,816,756,33,409,435,0,35,6,6,0,0,49,178,33,69,1596,0,659,47,0,209,6879,0,2425,806,97,633,25,2245,438,440,0,1637,6905,3,248,0,330,533,0,17,38,41,0,0,1115,0,0,0,0,85,0,35,1552,3465,552,2,5344,315,146,617,267,171,119,165,82
Burkholderiales,43,83,35,286,671,84,318,302,1611,1081,0,0,284,249,415,846,529,3028,249,316,478,2157,38,2722,136,0,162,459,244,207,1026,235,273,124,0,13,650,89,1402,963,296,89,0,202,3002,1389,56,3796,1074,241,139,0,0,222,50,230,72,406,107,823,617,103,94,212,31,180,369,392,238
Clostridiales,19528,41566,38530,37213,74487,8263,70546,64953,0,39086,5980,22345,65333,24971,17070,7728,382,40989,36473,27083,50989,41350,11301,8805,43974,10,14726,13426,23643,22715,27154,23260,9714,17747,18,29828,53536,3166,16430,11055,10297,20794,771,14624,15368,568,14648,43230,21934,2470,17856,914,32,8060,15133,10767,16707,21746,27342,99027,60621,43274,22600,23165,24211,16701,26562,26136,10837
Coriobacteriales,49,97,278,54,8,15,47,153,0,4,136,9,106,58,128,156,0,38,76,110,125,147,0,20,631,0,69,9,175,169,23,123,0,34,0,178,0,9,9,0,52,23,0,51,7,2,120,12,26,0,77,0,0,19,0,0,202,0,330,506,419,114,70,11,208,0,20,12,15
Desulfovibrionales,91,0,10,54,60,25,0,9,0,0,0,637,1250,840,471,603,240,214,165,262,938,729,622,627,331,0,146,116,282,281,609,367,466,157,2537,1322,413,35,484,329,152,166,0,367,1041,610,159,607,294,409,94,0,1511,137,277,160,741,288,84,1182,1294,407,0,46,7,14,155,0,0
Erysipelotrichales,70,155,229,94,335,205,293,321,0,4589,5110,727,180,62,1314,657,107,2390,54,661,496,2572,1520,1800,1529,0,1167,1307,179,737,2752,487,202,671,0,5910,7983,31,673,538,246,105,123,724,432,35,97,7345,324,0,301,192,0,816,500,328,2099,2540,880,881,10110,186,70,37,45,49,742,202,210
Fusobacteriales,0,0,0,0,0,0,0,0,28189,5205,44088,1148,662,50,102,684,5990,35,0,212,3,207,0,0,0,0,0,9,0,0,0,0,624,0,0,57,0,0,307,0,0,0,6488,0,22,0,467,24,611,0,0,0,3821,0,32,0,0,0,0,509,28,0,0,0,0,0,0,0,0
Lactobacillales,0,760,788,201,211,0,696,442,3984,2101,4538,151,940,429,835,190,1063,2033,388,387,3428,1394,2080,589,74,9897,17,20,105,37,284,112,275,547,2373,463,357,14,258,190,32,443,2961,243,820,1452,151,495,643,458,690,2926,2048,106,50,234,20,236,19,411,235,0,310,45,177,23,8,118,31
Rhodospirillales,0,0,0,0,0,29,57,87,0,0,0,0,271,363,216,645,3,0,0,242,0,265,0,0,397,0,0,0,9,24,0,5,0,0,0,0,0,0,0,0,237,14,0,0,0,0,29,0,0,0,4,0,0,0,0,0,39,0,0,66,0,0,0,0,0,0,71,17,5
Selenomonadales,4010,655,369,1428,1082,254,776,411,9958,1139,6378,1751,1430,244,955,974,4557,1255,1312,856,5268,2304,1652,2118,2510,15912,6201,6040,2445,815,1963,3679,1113,1257,5855,2216,2754,168,2055,655,724,1376,13837,1718,1227,2121,1487,1090,9866,545,734,1753,8233,303,301,526,1209,551,552,1689,1387,7408,228,956,292,356,730,992,658
Verrucomicrobiales,1011,41,49,1154,653,202,11,13,0,42841,3,7237,1043,10135,9037,14837,11096,181,0,10210,33,0,11475,1245,12089,0,7571,7458,3554,13732,5918,30942,11371,1151,15237,33952,20,102,9303,11414,7029,131,34535,2719,14249,20109,10691,8158,25676,19775,4335,11,0,4526,0,5239,10723,0,15228,24299,70404,3061,18,826,36,181,865,0,0
