Genus,ndc407,ndc408,ndc409,ndc410,ndc411,ndc412,ndc413,ndc414,ndc415,ndc416,ndc417,ndc418,ndc419,ndc420,ndc421,ndc422,ndc423,ndc424,ndc425,ndc426,ndc427,ndc428,ndc429,ndc430,ndc431,ndc432,ndc433,ndc434,ndc435,ndc436,ndc437,ndc438,ndc439,ndc440,ndc441,ndc442,ndc443,ndc444,ndc445,ndc446,ndc447,ndc448,ndc449,ndc450,ndc451,ndc452,ndc453,ndc454,ndc455,ndc456,ndc457,ndc458,ndc459,ndc460,ndc461,ndc462,ndc463,ndc464,ndc465,ndc466,ndc467,ndc468,ndc469,ndc471,ndc470,ndc472,ndc473,ndc474,ndc475
Acetanaerobacterium,1,1,1,1,1,4,1,1,1,1,1,12,1,1,14,1,1,1,1,6,32,15,1,3,26,1,1,1,11,34,1,38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,19,1,40,74,25,4,1,1,10,1,1,1,1
Acidaminococcus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,208,1,3338,1,1,491,1071,1,4775,5239,1,1,1,2485,1,1,1,1,1,1,1,1,1,269,1,1,1,1,1,1,1,1,1,1,1,1,1,1,552,1,1,1,1,1,1,1,1,1,1,1,1
Actinomyces,1,1,1,1,1,1,1,8,1,18,66,9,5,5,17,1,1,57,16,16,1,1,1,1,1,1,5,1,1,8,1,20,1,8,5,12,1,1,13,1,1,1,1,1,17,15,88,1,1,1,1,19,1,1,1,12,1,1,1,57,1,1,1,1,1,1,1,1,1
Adlercreutzia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,23,1,11,1,1,18,1,1,1,1,1,1,1,21,1,12,1,1,1,1,1,1,1,1,1,1,1,1,39,8,1,1,1,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Akkermansia,1012,42,50,1155,654,203,12,14,1,42842,4,7238,1044,10136,9038,14838,11097,182,1,10211,34,1,11476,1246,12090,1,7572,7459,3555,13733,5919,30943,11372,1152,15238,33953,21,103,9304,11415,7030,132,34536,2720,14250,20110,10692,8159,25677,19776,4336,12,1,4527,1,5240,10724,1,15229,24300,70405,3062,19,827,37,182,866,1,1
Alistipes,30,44,59,130,147,1,17,39,1,1,1,24,1,1,52,45,1,23,121,10,514,94,1,145,101,1,36,1,50,237,136,80,27,46,1,1,1,10,1,1,1,109,1,44,1,1,1,1,58,1,1,1,1,1,1,17,56,1,93,94,196,84,38,126,54,88,31,38,63
Allisonella,1,1,1,1,1,1,85,58,1,1,1,1,1,1,1,17,27,1,1,1,1,82,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,41,1,1,1,1,21,1,212,69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,53,44
Anaerococcus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,1,1,1,1,1,1,1,74,1,1,4,1,1,1,1,1,56,1,1,1,1,1,1,1,1,1,1,1585,1,1,1,7,1,1,1,1,1,1,1,1,366,1,1,1,1,1,1,1,1,1
Anaerofilum,30,26,28,11,4,1,14,15,1,90,1,1005,920,1055,227,422,161,45,21,53,81,526,305,195,494,1,77,1,76,1552,59,534,30,129,1,1,7870,14,1,27,22,36,1,13,57,63,34,250,403,1,29,17,1,37,1,18,536,5849,1175,1066,10160,99,5,14,22,3,19,1,1
Anaerofustis,1,1,1,1,1,1,1,1,1,1,1,1,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,1,1,1,1,1,1,1,1
