Family,ndc407,ndc408,ndc409,ndc410,ndc411,ndc412,ndc413,ndc414,ndc415,ndc416,ndc417,ndc418,ndc419,ndc420,ndc421,ndc422,ndc423,ndc424,ndc425,ndc426,ndc427,ndc428,ndc429,ndc430,ndc431,ndc432,ndc433,ndc434,ndc435,ndc436,ndc437,ndc438,ndc439,ndc440,ndc441,ndc442,ndc443,ndc444,ndc445,ndc446,ndc447,ndc448,ndc449,ndc450,ndc451,ndc452,ndc453,ndc454,ndc455,ndc456,ndc457,ndc458,ndc459,ndc460,ndc461,ndc462,ndc463,ndc464,ndc465,ndc466,ndc467,ndc468,ndc469,ndc471,ndc470,ndc472,ndc473,ndc474,ndc475
Acidaminococcaceae,0.020231330351025683,0.012260282483535598,0.007280821758990891,0.010971754447589726,0.0037044044572350407,0.006409048067860509,0.007402277991356051,0.003724032335500279,0.06582592050444772,0.0,0.0,0.031129376068211933,0.012561583450978133,0.004189843242071806,0.02058455834806225,0.021047013505360375,0.06911353653666977,0.008363158719255753,0.004479937670432409,0.011264347361864933,0.06094131534179676,0.017293316969764588,0.0,0.03034255384671123,0.0315786818674805,0.0,0.12602103145136176,0.11537699068261414,0.06876476544043199,0.018415582067968183,0.02559791235102633,0.046899699148437106,0.02290721807979091,0.03328265376641327,0.0,0.0,0.03313647451534215,0.024839006439742413,0.01139729788310093,0.026523445569097293,0.02246111788392626,0.030509000620732467,0.0,0.0024238558443629406,0.020327247408324305,0.028288201160541582,0.04906845014672762,0.0115546218487395,0.0026054509756483386,0.017967869222096956,0.027336534909493906,0.0,0.0,0.01377961708126791,0.0,0.014580404720651217,0.030765707305901214,0.015136982195312034,0.011928734022062685,0.011367856406024347,0.008264610864619224,0.019883903068276063,0.007682169083035208,0.011662832310838443,0.009683453765176245,0.006522403777558857,0.005147479369229513,0.020018397652109166,0.020152306208639555
Actinomycetaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.083005696342143e-05,0.0,0.00019734627305759028,0.0009743812678948869,0.00015363048028728898,3.8414628290453e-05,9.631823544992657e-05,0.0003448721817476397,0.0,0.0,0.0006748370148102626,0.00032463316452408756,0.0002669276626034344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024221100402835148,0.0,0.00019350380096751902,0.00015205078496217735,0.000155336515378315,0.0,0.0,0.00021674734484502557,0.0,0.0,0.0,0.0,0.0,0.00030945381401825775,0.00026037791995238803,0.0029686753565822694,0.0,0.0,0.0,0.00024627508927471984,0.0031039834454216243,0.0,0.0,0.0,0.00035960639445552326,0.0,0.000749355554223368,0.0,0.0005639227013272816,0.0006090970434907232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alcaligenaceae,0.0009269334622979893,0.001718924740090295,0.0008115565654926151,0.004876335310039879,0.006442875494169547,0.007917059377945335,0.0037966522600826193,0.003918668171850467,0.036279698232181065,0.01254890124560324,0.0,0.0,0.002583383752532965,0.0059958101567579285,0.008686468077768676,0.019004965888522764,0.017303340875815254,0.00791728426304183,0.005085919577544038,0.00562327609217902,0.005091944312645381,0.023675108780542232,0.0,0.048982845135228166,0.0017151360758695482,0.0,0.003880518360600762,0.008304147668450846,0.006271796602542467,0.0033893709327548803,0.01374727610233784,0.0029957676814032948,0.006585184615778819,0.003427781617138908,0.0,0.0,0.008345102067017591,0.013646120821833795,0.025070442887074624,0.03933071679405082,0.010417821123794746,0.0027622594661700813,0.0,0.005868282570562908,0.05806127185517561,0.025498437732480287,0.001603767146659387,0.05164793190003275,0.009993765528022558,0.008490698985343855,0.005705372901531011,0.0,0.0,0.010095957069443814,0.002781176994103905,0.0075190427931609415,0.0014759396391582056,0.012169534200587495,0.001444580633864472,0.00524035485867547,0.003338090659914846,0.0004975582788169172,0.0035398230088495566,0.006166922290388547,0.0011370722224259984,0.006114753541461428,0.009586839883432743,0.00858557098427439,0.00781483821622161
Bacteroidaceae,0.004997380405432637,0.08333678498943792,0.05161499756533033,0.07401285203628324,0.12243455054221729,0.07511781338360038,0.10889706057928798,0.11061803365902396,0.0,0.0018922025004933657,0.0,0.16119678144143798,0.2500888338279217,0.12181848828529462,0.2862008018278225,0.30614470691975676,0.11150672168241713,0.3950447682055361,0.09907804181275152,0.24681911202064236,0.20691810070477132,0.40687269887314514,0.0,0.23049471948988284,0.11321159230206569,0.0,0.21251826478549357,0.348796228991828,0.09438632017099788,0.07409164859002168,0.34337252158941106,0.2020677170975473,0.33241089502139554,0.3087491361437457,0.0,0.0,0.058441391706252406,0.1660533578656854,0.3761469546998048,0.0,0.19871439654217002,0.18829919304779644,0.0,0.20519853292935733,0.3048700293981123,0.0007253384912959381,0.050023885893673646,0.0,0.12799277917872465,0.0009160090191657272,0.011328654106637115,0.0012071046732195206,0.39783999080847154,0.31320205557324127,0.0,0.33816077674981204,0.14812835585413642,0.0930699598345423,0.01466468219226055,0.15115879238016644,0.08188175157200782,0.007739795448263157,0.10182639804180002,0.09413343558282207,0.06606022814803947,0.21123076400448426,0.09439769044311899,0.34425511410924714,0.5382927072594857
Bacteroidales_S24-7_group,0.0,0.0,0.0,0.04454821579849991,0.08542038019936068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019160550956219956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08012967098006508,0.0,0.021241704461014168,0.05266067726330338,0.0,0.0,0.0,0.0,0.0003251210172675384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0336068521363889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0438075153374233,0.0,0.16897102286238416,0.0,0.0,0.0
Bifidobacteriaceae,0.006166122597025755,0.004680445677836225,0.009251744846615815,0.016860549207595513,0.007528305832445406,0.0031102733270499524,0.004823419852432007,0.005644439254155474,0.0,0.00040630115041268586,8.994288626722033e-05,0.00011522286021546675,0.0,0.0,0.0010561710566021466,0.004130505406785168,0.0010980966325036604,0.0008314956075340734,0.03454096870536291,0.0,0.007626343868257513,0.000524377998438023,0.0,0.0037860261217687453,0.08675309607284282,0.0,0.0580880063238077,0.017753695015308706,0.002728090898863764,0.014303145336225596,0.00033628366199456555,0.028619142318086797,0.011043636456811948,0.012163096060815481,0.0,0.023116897788572878,0.0886506611888561,0.0004599816007359706,0.0044794451267971954,0.0,0.012191067272525766,0.01654252017380509,0.0,0.0,0.0007349528082933622,0.000762535337003422,0.0,0.0,0.01037527799231392,0.0,0.0,0.0,0.0,0.0038655691482104696,0.0,0.0011442021641766649,0.039494108965060955,0.1038606798153588,0.012081947119593766,1.3754212227494673e-05,0.031911907847200244,0.0058048465861973665,0.005498022971191864,0.019714979550102246,0.009793493012507794,0.005809015864388358,0.0032410055287741377,0.0036138245214420266,0.0027268797180007315
Burkholderiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001835795181743723,0.0,0.0,0.0002528719023191965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campylobacteraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036031978380812973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008466031847643433,0.0,0.0,0.00013018895997619402,0.0,0.0,0.0,0.0,0.0,0.020003448870494916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carnobacteriaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018588196495225534,0.00015363048028728898,0.00035533531168669026,0.0,0.0,0.0,0.0,0.0004579251171926782,0.0,0.0,0.0,0.0006694187214102422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005238060833754785,0.0,0.0,0.0,0.0,0.0,0.0005608850379080923,0.0,0.0,0.0,0.00012096736672653001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christensenellaceae,0.09712650626687627,0.06635463695481092,0.11192524404665294,0.04824679215653863,0.05847382519592516,0.09594721960414707,0.047302944196375284,0.06413899593859888,0.0,0.0,0.0,0.0030149981756380463,0.017785972898479743,0.01644633870307496,0.0,0.0007193576832041585,0.0,0.028102141402455934,0.08198069514781625,0.007420589020375477,0.05235444561456296,0.0003793372754658039,0.0,0.0009238628335416555,0.1139808812772719,0.0,0.00215584353366709,0.0,0.07303971200359995,0.09282357194504702,0.005501600710231093,0.007483045229718017,0.0004612191559689446,0.0040082930200414655,0.0,0.0,0.006842983694954423,0.011959521619135235,0.00018062278737085468,0.006858087172071886,0.013927370793158225,0.043482309124767235,0.0,0.01632913410939244,0.00104440662231162,0.0,0.021326690780045038,0.0,0.0007816352926945017,0.0,0.10249148298649592,0.0,0.0,0.0022738642048296884,0.0,0.0022557128379482824,0.04921495279537879,0.007223787542713268,0.07019348625459641,0.013238429268963622,0.011280238383862511,0.04798673177923156,0.07411033703633965,0.04885608384458077,0.11587132744012031,0.026972857288446523,0.0742435384154479,0.020675456656007715,0.01546340327890659
