Genus,ndc407,ndc408,ndc409,ndc410,ndc411,ndc412,ndc413,ndc414,ndc415,ndc416,ndc417,ndc418,ndc419,ndc420,ndc421,ndc422,ndc423,ndc424,ndc425,ndc426,ndc427,ndc428,ndc429,ndc430,ndc431,ndc432,ndc433,ndc434,ndc435,ndc436,ndc437,ndc438,ndc439,ndc440,ndc441,ndc442,ndc443,ndc444,ndc445,ndc446,ndc447,ndc448,ndc449,ndc450,ndc451,ndc452,ndc453,ndc454,ndc455,ndc456,ndc457,ndc458,ndc459,ndc460,ndc461,ndc462,ndc463,ndc464,ndc465,ndc466,ndc467,ndc468,ndc469,ndc471,ndc470,ndc472,ndc473,ndc474,ndc475
Acetanaerobacterium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017689026906975378,0.0,0.0,0.0002936724874059684,0.0,0.0,0.0,0.0,9.155664609694015e-05,0.0,0.00016158258601387305,0.0,3.7722325958618606e-05,0.00033300033300033295,0.0,0.0,0.0,0.00028757944382135574,0.0008237849172470606,0.0,0.0004914135444197998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005036796597364079,0.0,0.0010010523884083269,0.000536275748582175,0.0001608665343986273,1.9313594839407456e-05,0.0,0.0,0.00035168613965847384,0.0,0.0,0.0,0.0
Acidaminococcus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0050813756535827365,0.0,0.04139325452447994,0.0,0.0,0.00924196985986156,0.014252414252414249,0.0,0.13097393689986284,0.13753446238676645,0.0,0.0,0.0,0.03299111471185899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009263099682012995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015418194028597818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Actinomyces,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.389923270912706e-05,0.0,0.00020237613390157376,0.0010246063147275337,0.00015723579472867,3.9828736433336634e-05,9.869963234386953e-05,0.00036144306142273027,0.0,0.0,0.0007211383684244413,0.00036821562707121274,0.00027466993829082043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002523474957831405,0.0,0.000213903743315508,0.00015240998285387695,0.0001613684040664838,0.0,0.0,0.00022375536080551935,0.0,0.0,0.0,0.0,0.0,0.00031761156106082245,0.0002630738297912321,0.0033049688497188887,0.0,0.0,0.0,0.0,0.003383458646616541,0.0,0.0,0.0,0.0003846422826771102,0.0,0.0,0.0,0.0004113896153507097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adlercreutzia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036144306142273027,0.0005252351621066706,0.0,0.00012877470864722167,0.0,0.0,0.0002108736370740662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005751588876427115,0.0,0.00016758840288252049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013380281690140842,0.00013895505796410984,0.0,0.0,0.0,0.00018742210268857013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Akkermansia,0.042615073343449675,0.0009044184148412854,0.0012380615493455965,0.025751456050699572,0.007267668336115747,0.020232371794871796,0.0,0.00017438428931695028,0.0,0.5099997619104307,4.728952221819386e-05,0.1422394308064231,0.01038534302499253,0.2500801934512794,0.20414755912982588,0.35422336818984873,0.3713769328602985,0.002330822226514712,0.0,0.1869586713299518,0.00040934294255554033,0.0,0.4635801721003514,0.023482147909240084,0.16102564102564096,0.0,0.20770919067215365,0.19582512800315086,0.10220573433410983,0.34279437829201925,0.090162560750796,0.41095453760641754,0.30757370841222603,0.035171886936592824,0.5805677271861307,0.4980709140786599,0.00030886599848655675,0.015777262180974475,0.1734663434644789,0.5788619535449844,0.26579693703913776,0.004527858426655605,0.5608789566855603,0.09573943661971829,0.28285294584722864,0.3778679745194205,0.40613128703844414,0.1160405672588652,0.24061249543158633,0.7130494356903327,0.24563689936536723,0.0020676691729323306,0.0,0.21128798842257598,0.0,0.18319462899503458,0.3000531661863057,0.0,0.3908724556585128,0.17850636184655166,0.47190197865837313,0.059118913803426223,0.000710087182926348,0.02838097855964816,0.0014067445586338954,0.007517547867259213,0.025149004215729024,0.0,0.0
Alistipes,0.0012223908278536505,0.0009485363862969577,0.0014654606094294813,0.002878628969272309,0.0016249304396215912,0.0,0.0001972167782174069,0.000509738691849547,0.0,0.0,0.0,0.0004520529098449263,0.0,0.0,0.0011520997582849528,0.0010504703242133412,0.0,0.00028330435902388767,0.002945725016569702,0.0001648019629744923,0.006363422106999763,0.0010733700356635855,0.0,0.00271600746902054,0.0013320013320013318,0.0,0.0009602194787379974,0.0,0.0014091392747246432,0.005891310317282008,0.0020567667626491147,0.0010492343245720051,0.0007032729239924261,0.0013750954927425514,0.0,0.0,0.0,0.0013921113689095127,0.0,0.0,0.0,0.0037328909166321022,0.0,0.0015140845070422532,0.0,0.0,0.0,0.0,0.0005341529926624249,0.0,0.0,0.0,0.0,0.0,0.0,0.0005594796838939785,0.001539021182527913,0.0,0.0023614569162452837,0.0006832006112074285,0.001307040591988847,0.0016030283716708185,0.0014596236537930485,0.004294942275975811,0.0020710406002110125,0.003613406985920174,0.0008722197993894458,0.0008265385904166203,0.002082283795130142
Allisonella,0.0,0.0,0.0,0.0,0.0,0.0,0.0010353880856413863,0.0007646080377743203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003819892088048514,0.0008702055023763303,0.0,0.0,0.0,0.0,0.0009348706762231226,0.0,0.0,7.992007992007989e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006592960746526018,0.0015125732652675361,0.0,0.0,0.0,0.0,0.00037581975684461736,0.0,0.003001294397109654,0.0006372351491411385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011616218027476826,0.00144416456759026
Anaerococcus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005645972948425263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020027434842249657,0.0,0.0,7.488953793155095e-05,0.0,0.0,0.0,0.0,0.0,0.000806842020332419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060173225953502524,0.0,0.0,0.0,0.00033998186763372625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002681378742910875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anaerofilum,0.0012223908278536505,0.0005514746431959058,0.0006821971802516551,0.0001785196260013835,3.338898163606009e-05,0.0,0.0001602386323016431,0.00018779846541825413,0.0,0.0010594985833670629,0.0,0.01973309223844809,0.009150652195559094,0.02600735312260962,0.005105383242596065,0.010051091056677654,0.00535511078385434,0.0005666087180477753,0.0004909541694282837,0.0009521891194081776,0.0009055162062592256,0.006024722135660124,0.012281339635599723,0.0036590656179860052,0.006566766566766566,0.0,0.002085048010973937,0.0,0.002156845828660168,0.038717891110611836,0.0008836479424714716,0.007079011329074414,0.000784419799837706,0.003636363636363636,0.0,0.0,0.12152332710453571,0.0020108275328692966,0.0,0.0013185921493052036,0.0007941009642654566,0.0012097331674270702,0.0,0.0004225352112676055,0.0011116404637128785,0.0011650412462183137,0.0012536088740313024,0.002958621964923261,0.00376718426404026,0.0,0.0015865820489573892,0.0030075187969924814,0.0,0.0016805938098128008,0.0,0.0005944471641373523,0.014970478775498789,0.2087751240584057,0.030134243692086553,0.007823748934794745,0.06809346345648562,0.0018927322942619306,0.00015779715176141067,0.0004466739967014843,0.000820600992536439,8.306682726253274e-05,0.0005233318796336676,0.0,0.0
Anaerofustis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023164949886491753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001943803957316746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
