Phylum,ndc407,ndc408,ndc409,ndc410,ndc411,ndc412,ndc413,ndc414,ndc415,ndc416,ndc417,ndc418,ndc419,ndc420,ndc421,ndc422,ndc423,ndc424,ndc425,ndc426,ndc427,ndc428,ndc429,ndc430,ndc431,ndc432,ndc433,ndc434,ndc435,ndc436,ndc437,ndc438,ndc439,ndc440,ndc441,ndc442,ndc443,ndc444,ndc445,ndc446,ndc447,ndc448,ndc449,ndc450,ndc451,ndc452,ndc453,ndc454,ndc455,ndc456,ndc457,ndc458,ndc459,ndc460,ndc461,ndc462,ndc463,ndc464,ndc465,ndc466,ndc467,ndc468,ndc469,ndc471,ndc470,ndc472,ndc473,ndc474,ndc475
Actinobacteria,0.006488292165869013,0.006685294422022146,0.015705476129985935,0.01779432217949766,0.007556650148858086,0.004024819721616637,0.005382054250152149,0.007712448799709642,0.0,0.0013117722856181005,0.003732629780089644,0.00044117929142769457,0.0009106245926153142,0.0014534542982394458,0.004368691759743474,0.007528724981467755,0.0010980966325036606,0.0038999963888922285,0.03575591869608525,0.0024853982850751855,0.009588883785025266,0.0021928359936775094,0.0,0.004147348594610258,0.09458523750173109,0.00043535045711797995,0.059830902253838254,0.01795193726734069,0.007647753472417476,0.018023686990134156,0.0006432505594939765,0.030409192825112105,0.011018790745238398,0.013248498870710081,0.00015205078496217738,0.025785861552800295,0.08764121876069837,0.0018399264029438818,0.004931002095224334,0.0,0.01409698132703521,0.016947602645776817,0.0,0.0016265348429277623,0.0012378152560730308,0.0010599523951204998,0.006790418344366343,0.00016370184437411323,0.01074468579933951,0.0,0.0032803017877644732,0.003103983445421624,0.0,0.004729637546045749,0.0,0.0015027768703038224,0.044632178935850794,0.10384123300306466,0.01903514516481118,0.004051975166199659,0.034856769285629384,0.00584651866388648,0.008126410835214445,0.019860847564832376,0.01732501732501732,0.005772931366260428,0.003207939072236326,0.0038752900994000958,0.0032214141011590457
Bacteroidetes,0.02094240837696334,0.09808548069957569,0.05813335796937439,0.1387548065123128,0.22182328912099514,0.15151769243669297,0.1272241249686742,0.12980245761393672,0.004391397365161581,0.0021940262122285043,0.00475198249111814,0.34532829493794714,0.3145872474214948,0.12293410225754281,0.3424365678868875,0.3628382134914751,0.193165180354053,0.44965513920820394,0.1455246815455373,0.28351293294750507,0.2798805695911805,0.4443553952670363,0.0,0.6762532599246595,0.13869899661341292,0.0,0.22236593135493773,0.348796228991828,0.14786593938030704,0.09773692608490453,0.463274413368891,0.21753974724826733,0.3822830116323662,0.39147799261830024,0.0,0.0011155986104442626,0.05771742300328399,0.4455688439129101,0.4386605014088578,0.0,0.2847073584766404,0.2771359770780626,0.06366327918700489,0.35799712964439484,0.3297617205632058,0.5103205891103837,0.052241861734798355,0.12408599803557784,0.42722917344992806,0.21667136414881627,0.012465146793505,0.003448870494912916,0.3978399908084716,0.35108463322570377,0.0936144176215374,0.4206795164978765,0.1630321382223466,0.09687881222291647,0.018402095612311726,0.1703065765617274,0.09383097587067633,0.028455783147307623,0.11444695259593679,0.16461100569259957,0.07331217857533644,0.3996826575740188,0.19206092776367414,0.3860839865131147,0.5979542359934907
Cyanobacteria,0.0,0.0,0.0003233480379702986,0.0,0.0,0.0,0.00025060563027315993,0.0006092186446829466,0.0,0.0,0.0,0.0,0.0,0.0,0.0006671401209460479,0.0002084877687175686,0.0,0.0,0.0,0.0,0.0,0.001647409782052139,0.0,0.0,5.035817250191991e-05,0.0,0.0,0.0,0.0,8.989370069892347e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001025094308676398,0.0,0.0,0.0,0.0,0.0,5.0891880200514015e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003282634861582229,0.0,0.0,0.0,0.0
Euryarchaeota,0.006167089583400249,0.0,0.0,0.009306225967438433,0.0009297449136029583,0.0005869528760690929,0.0,0.0,0.0,0.0,0.0,0.0006713597913030136,0.0,0.0,0.0,0.0,0.0,0.0,0.003327610690744153,0.0,0.008474965548920535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014741158655070296,0.0,5.113127956027099e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00524278355229067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020786358511837655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006841380814151545,0.0,0.007590132827324476,0.0,0.0008777556463319947,0.0005308100623124856,0.0,0.0
Firmicutes,0.7541194231201619,0.8920625064679706,0.9207104418319976,0.7945471651803977,0.7509272721877691,0.7304209290625523,0.862536844994451,0.8563151345465858,0.31296025222384866,0.42619829817861,0.32908603037071466,0.4800414324899777,0.6507035773168205,0.6014253229247248,0.4301977747648869,0.22092753891771683,0.203214428324238,0.5326745067828645,0.8049638625717982,0.5142821637167354,0.6837390904915019,0.5141031634720272,0.5737340991578279,0.23531222833961166,0.6035930556080119,0.9995646495428819,0.5290891236138054,0.45791757527698845,0.7295169543946466,0.5528237858732051,0.430321223248147,0.35013249082755815,0.281886744215774,0.555830992122514,0.29938799559052726,0.4637642274126585,0.8329719654608392,0.5179392824287029,0.3487645401343833,0.4753922378199834,0.4165252048121632,0.6883591916359315,0.2707849883972154,0.5355126774039228,0.314791892310073,0.0772277595953585,0.5519006346823175,0.7043953945214451,0.30466533327131473,0.06323985343855693,0.7957602099393145,0.9715468184169685,0.39496763816016245,0.42202919641639,0.8864167315607965,0.38686703691604046,0.5096567342680475,0.768871433247047,0.62128356254093,0.6410430745563429,0.43851182693450613,0.6899164588358763,0.8722723852520693,0.7644528779253638,0.9016303753145857,0.5773944161236957,0.6441957073621047,0.6007356482900558,0.3895254226030353
Fusobacteria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6342303794617723,0.060422785368515156,0.6540796594162707,0.022020601154738844,0.00634561558222461,0.0011721405630963273,0.002195106204403125,0.015845070422535214,0.19932117662717957,0.0004212959062074937,0.0,0.0037636031173995665,3.445107946715665e-05,0.0023041474654377893,0.0,0.0,0.0,0.0,0.0,0.00019824225203198307,0.0,0.0,0.0,0.0,0.011888022497763006,0.0,0.0,0.0008049255796876325,0.0,0.0,0.00554511957228524,0.0,0.0,0.0,0.10383291990077621,0.0,0.00042549899427510437,0.0,0.01593530335084966,0.0,0.00568398530164194,0.0,0.0,0.0,0.14633679292252308,0.0,0.0017799532762264984,0.0,0.0,0.0,0.0,0.0034956870501620793,0.00016640912872934743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lentisphaerae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010597486276255263,0.0,0.0012861736334405147,0.0,0.0,0.0008512025499855114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012192519889048069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005769674590353104,0.0,0.0
Proteobacteria,0.004304114605081424,0.0017178929938942355,0.0010393329791902454,0.006954102920723223,0.007121450402065212,0.011571356699647834,0.0044751005405921414,0.005158915331570484,0.048417970949217425,0.012548901245603244,0.008304726498673342,0.012679109201465486,0.017455235612131442,0.03542208781677101,0.025114597456259286,0.04850815418828763,0.03397444429655265,0.010484249551620773,0.008774718636739356,0.01455733281258323,0.016260909508497935,0.035207818517776455,0.021917615137954122,0.06065270935960591,0.010877365260414702,0.0,0.007377068812723051,0.010859270027974184,0.015042456278468197,0.011506393689462205,0.02630626767263908,0.007732878108438645,0.022165409689377476,0.00773976753153749,0.12126050100733646,0.029076171378540967,0.013478387665309951,0.019012572830420113,0.0340654576981432,0.053344343517753925,0.025278618348217593,0.008199469625384826,0.00902616627990718,0.018147025992664646,0.0781951106297385,0.0373028860458197,0.008325940080529585,0.06006493506493504,0.0128192008930648,0.021314825253664037,0.009717894046252253,0.020003448870494912,0.06085557810884302,0.016326344990677154,0.01818889754143953,0.019797451813132964,0.009771240998498692,0.020649230860781343,0.004169395328530889,0.014223119608812704,0.011357423035777962,0.006950406803221689,0.0035364936042136946,0.008159392789373813,0.0013860013860013856,0.006549407514938729,0.01373182552504039,0.008954766387879318,0.007970509116269803
Synergistetes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005380162265693933,0.0004401408450704226,0.0,0.0,0.0,0.0,0.0,0.00018922950199247543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007933119086679997,0.0,0.0,0.0,0.0,0.0,0.0,0.002104809362597791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008063316373590408,0.003863785199738049,0.0,0.0021336027576369905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tenericutes,0.17550509106093212,0.0006002276725654559,0.002956324918585587,0.00904033379694019,0.005182833348169682,0.08494046620828445,0.0001312696158573695,0.0002333177788147455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006861104758236326,0.00027553464318263684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003281120075510707,0.0,0.0,0.0,0.0,0.0,0.0,0.005832604257801108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001487652484379649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016959742926001965,0.0008295132067234229,0.0,0.0007191251634375371,0.22027338266759244,0.0009405568096313016,0.009203036053130928,0.004705109968267862,0.003612302082981671,0.12471728594507268,0.00035030870955029116,0.0013284181860449675
