Class,ndc407,ndc408,ndc409,ndc410,ndc411,ndc412,ndc413,ndc414,ndc415,ndc416,ndc417,ndc418,ndc419,ndc420,ndc421,ndc422,ndc423,ndc424,ndc425,ndc426,ndc427,ndc428,ndc429,ndc430,ndc431,ndc432,ndc433,ndc434,ndc435,ndc436,ndc437,ndc438,ndc439,ndc440,ndc441,ndc442,ndc443,ndc444,ndc445,ndc446,ndc447,ndc448,ndc449,ndc450,ndc451,ndc452,ndc453,ndc454,ndc455,ndc456,ndc457,ndc458,ndc459,ndc460,ndc461,ndc462,ndc463,ndc464,ndc465,ndc466,ndc467,ndc468,ndc469,ndc471,ndc470,ndc472,ndc473,ndc474,ndc475
Actinobacteria,0.004952738573093356,0.004677636344820449,0.00928942807625651,0.016846625513553686,0.007484481580849223,0.002778245495874727,0.0048223834988540834,0.005732740171982199,0.0,0.0013117722856181002,0.0016939243580326492,0.0002690341673392521,0.0001534713296372322,9.38086303939963e-05,0.0016190661226604495,0.004126101066295782,0.0011072710800926083,0.003442589405009811,0.034351877518817804,0.0005327650506126798,0.008350270019162652,0.0005576560600484046,0.0,0.0037892523025600125,0.08669034842415543,0.00043535045711797995,0.05817824722761132,0.017753695015308706,0.0027273238486194683,0.014340734028092435,0.00033669580207673985,0.02884223399918467,0.011055534179812747,0.012312014543050738,0.00015592110392141574,0.023508266407999658,0.08801059386778037,0.00045998160073597056,0.004768441586590564,0.0,0.012182066521466278,0.016345682041216874,0.0,0.0,0.0011024292124400432,0.001022894232736335,0.0029686753565822694,0.0,0.010503791226682794,0.0,0.00024627508927471973,0.003167341193031849,0.0,0.0038655691482104683,0.0,0.001513456603276963,0.03949410896506096,0.10481109976575172,0.012102874432677763,0.0005770974745115285,0.03246633242519807,0.004335677810964433,0.005492851768246802,0.01966220522625876,0.009741681260945708,0.005778003041054236,0.002759612262882056,0.0036125585672373774,0.002723257281392183
Alphaproteobacteria,0.0,0.0,0.0,0.0,0.0,0.00244148846607173,0.0006803857906799078,0.0011283900338517,0.0,0.0,0.0,0.0,0.0025994206457306207,0.008513133208255164,0.004662910433262096,0.014951321279554942,0.0001006610072811462,0.0,0.0,0.004297638074942284,0.0,0.002955577118256545,0.0,0.0,0.005000881767566072,0.0,0.0,0.0,0.0002530506663667548,0.0005437245129134572,0.0,6.369751324908274e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008748938683598509,0.0004293424926398429,0.0,0.0,0.0,0.0,0.0009895584521940897,0.0,0.0,0.0,0.00016418339284981318,0.0,0.0,0.0,0.0,0.0,0.0009161004656844036,0.0,0.0,0.00045343372997334376,0.0,0.0,0.0,0.0,0.0,0.0,0.0016464913501229074,0.0003722030038971844,0.00016605227325562093
Bacilli,0.0,0.015730104522405048,0.018209127671865995,0.004149720255176827,0.0020889227692581823,0.0,0.008307868601986243,0.0057327401719822,0.09082204896730954,0.024389677629058654,0.06723230748474718,0.0029017256620162187,0.009160319987722296,0.010060975609756103,0.01798242773568206,0.004265183124710247,0.035667550246619474,0.024736088207325736,0.008273450327313043,0.00687266915290357,0.03973056152372105,0.01427599513723916,0.0732936326156665,0.010678801943578217,0.0009321542841307036,0.391380060949064,0.0,0.00035243067027908103,0.002952257774278806,0.009605799728137743,0.0038248643115917644,0.0014268242967794536,0.007053995126330639,0.015066380212637032,0.0925001949013799,0.006604567564868835,0.02308495467046959,0.0021465808034345293,0.004334946896900514,0.007844756399669693,0.0011812912990512756,0.013585623159960744,0.04163369454627672,0.007749960133949929,0.016555779049976786,0.02691141735944504,0.0031051661775745574,0.006466222852777474,0.005972926454854166,0.01616946160635481,0.028321635266592773,0.5108217490761922,0.0786693811700534,0.004820592114238937,0.0026143063744576704,0.007698887938408899,0.0005089447031580021,0.030452279416181154,0.0004165844460523143,0.0032564786061721955,0.011028776163535887,0.0,0.011662904439428141,0.0014340344168260034,0.006457968476357268,0.0007771583037675288,0.00018552015212652476,0.0025835267329333976,0.0010295240941848498
Bacteroidia,0.01951961672925028,0.09808548069957569,0.05816291161178516,0.14005821995581888,0.22202972012394906,0.14867822865802327,0.12725601604278064,0.12988158389644738,0.004445356312405964,0.002194026212228504,0.00475198249111814,0.34595872247203957,0.3147984729602703,0.12288930581613515,0.343501068583641,0.3630737134909596,0.19477904908901789,0.44965513920820455,0.14519052391410955,0.2834842834310069,0.2819580744439928,0.4452325983426462,0.0,0.6769889041989994,0.1387776182198373,0.0,0.22236593135493768,0.348796228991828,0.14786593938030707,0.09852741277752604,0.4655829551117159,0.21753974724826733,0.3835577786328076,0.39147799261830013,0.0,0.0011269132562087216,0.05796068045227665,0.4455688439129102,0.4386605014088578,0.0,0.2848019491306435,0.2781219332679096,0.06424314852796303,0.35799712964439495,0.3297617205632058,0.5103870259815135,0.052241861734798334,0.12408599803557786,0.4272689212448249,0.21712268314210062,0.012477937856585802,0.0035192679922576107,0.39903199784888416,0.3510846332257038,0.09361441762153742,0.42366914522603144,0.1630404356566659,0.09778365066970988,0.018483194106426366,0.17036741872543906,0.09412017192967814,0.02568372950876074,0.1144469525959368,0.16586998087954108,0.07333625218914185,0.4000337894914685,0.1902972960437828,0.3860839865131147,0.5979542359934907
Betaproteobacteria,0.0013919461349216622,0.0017178929938942355,0.0008087810514153678,0.005904577079505336,0.006534071221376306,0.007071897625862943,0.0037958365164247484,0.0039169401175082,0.03672548215018465,0.01254890124560324,0.008304726498673342,0.00046120142972443215,0.0028775874306981044,0.007223264540337716,0.008958832545387822,0.019610570236439508,0.01774989095057545,0.007908326010809251,0.005309508070878729,0.005611791866453561,0.005551361709540679,0.02405728243048818,0.0,0.049350931902240935,0.0017131484140780497,0.0,0.00388014658331537,0.008304147668450846,0.006860484732609796,0.004689623923878569,0.013817995717229404,0.0029937831227068888,0.00700269334359369,0.003415413430287005,0.0,0.00037088284381552863,0.008276459203422633,0.013646120821833793,0.02532331478939383,0.039760528488852184,0.0109269445162243,0.002729391560353287,0.0,0.0064423536915962365,0.058061271855175595,0.025832728895832175,0.0019108714938920355,0.05178435010367783,0.009992091919802767,0.008508384819064428,0.005705372901531008,0.0,0.0,0.010095957069443813,0.0027811769941039045,0.007567283016384815,0.0018322009313688074,0.012192924499969967,0.0023460281961893486,0.005654181208606998,0.0036782458880549413,0.0014176978239026563,0.003536493604213695,0.006755895474824728,0.0011310566258026851,0.006082108464267617,0.008557117016835954,0.008582563383982134,0.007804456843014183
Clostridia,0.627929561051405,0.8595674221256339,0.8892432120161754,0.7664388793690773,0.7356770188795062,0.694729752483583,0.8416849694423226,0.8416103552483107,0.0,0.33532614373773845,0.08964307664632958,0.4292440139897768,0.6259903696740651,0.5841228893058159,0.36707467132957705,0.17899860917941593,0.012750394255611851,0.4640634592005006,0.7723308527197904,0.4805718344876576,0.5848324719818825,0.4467494228259778,0.38866767680327,0.15385452172021177,0.5516085959741011,0.0003957731428345272,0.3526382601614332,0.2957333861979339,0.6527863690041051,0.5125283189850477,0.3647223606416073,0.29563289849164304,0.2421444145184044,0.48796342202390786,0.0007016449676463709,0.34594810493131534,0.6745823571355811,0.4852805887764489,0.2961491221732533,0.4182906688687036,0.3793421684078407,0.633556182531894,0.012451349299914406,0.4498804018497848,0.26614962091907807,0.010228942327363351,0.49474510339179695,0.5828604168940303,0.20391682560357252,0.027961165048543686,0.7257726880925995,0.1465775118775295,0.0012292090807820841,0.36631952339806273,0.8392479697407944,0.35381983286174906,0.4249942743720895,0.6515706649047992,0.59168146637725,0.6200294044903679,0.3593532964117728,0.5923637014300868,0.8500000000000001,0.7372211599745061,0.8831727962638647,0.5634397702314576,0.6129817726450536,0.5720103341069317,0.35966922387167466
Coriobacteriia,0.0015861711770037545,0.002007658077201697,0.006424032351242065,0.0011148502178086996,7.920086328940977e-05,0.00126283886176124,0.0005610198624904503,0.0019844100595323,0.0,0.0,0.002038705422056994,0.00017295053614666206,0.0007577646900838339,0.0013602251407129463,0.002763206182673834,0.003407510431154382,0.0,0.0004574069838824224,0.0016205727445252351,0.0019534718522464926,0.0013471923813948086,0.00163950881654231,0.0,0.00036260787584306336,0.00794850477414154,0.0,0.0016526550262269172,0.00019824225203198307,0.004920429623798009,0.003828726778432261,0.0003097601379106007,0.0015669588259274356,0.0,0.0009364843276593401,0.0,0.0025391210076601573,0.0,0.0013799448022079116,0.00016256050863376926,0.0,0.001919598360958323,0.0007053483807654561,0.0,0.0016265348429277625,0.00013538604363298777,3.7196153917684914e-05,0.003821742987784071,0.00016370184437411326,0.0002418942177978323,0.0,0.0030373927677215438,0.0,0.0,0.0008640683978352812,0.0,0.0,0.005140341501895821,0.0,0.0070161590914073965,0.0034763252631289684,0.002497868763525155,0.001569102445872843,0.0026335590669676447,0.00035054174633524534,0.0075890251021599525,0.0,0.0004638003803163119,0.0002627315321627184,0.0004981568197668627
Deltaproteobacteria,0.0029457464715784013,0.0,0.00023108030040439078,0.0011148502178086996,0.0005940064746705733,0.002104731436268733,0.0,0.0001167300035019,0.0,0.0,0.0,0.01224105461393597,0.011989947627908766,0.019699812382739223,0.010167735250307626,0.013977746870653689,0.008052880582491696,0.0025759235408115365,0.0035183487216666285,0.0046528147753507375,0.010893676325416645,0.00813062535550574,0.02191761513795412,0.011367756907680038,0.004169500919557607,0.0,0.003496922229407679,0.0025551223595233373,0.007928920879491649,0.0063661078386950615,0.008201909738589383,0.004675397472482673,0.011953315377709375,0.004324354101250483,0.09889296016215796,0.018857966135543417,0.00525873484771315,0.005366452008586323,0.00874214290874937,0.01358381502890173,0.005611133670493559,0.0050907752698724235,0.0,0.01170467230106841,0.02013383877456289,0.011344826944893898,0.005425510134443459,0.00828058496125723,0.0027352653858677962,0.012850838481906443,0.00385830973197061,0.0,0.05804171628317904,0.006230387921233344,0.01540772054733563,0.005264196880963349,0.007023436903580428,0.0086491681182053,0.001841741761494442,0.00812058589134079,0.007714181813846181,0.005601971012896904,0.0,0.001465901848311026,0.0002553998832457676,0.000473052880554148,0.003594452947451418,0.0,0.0
Erysipelotrichia,0.002265958824291078,0.003208113422332609,0.005014442518775281,0.0019406651939632919,0.0031482343157540386,0.01725879777740361,0.003497421695951105,0.0041633701249011,0.0,0.053271885121251875,0.07660135813758263,0.013970559975402589,0.0016018570030886111,0.0014540337711069426,0.025365369255013714,0.015229485396383871,0.003590242593027547,0.028768491881026037,0.0011514595816363511,0.011738589948499379,0.005760408803205389,0.02839584657766477,0.053560731526833216,0.032634708825875706,0.01926032297886278,0.0,0.027951426313142205,0.02878918037842243,0.005032896586627678,0.01669687358405075,0.03706347389260752,0.006204137790460661,0.005078876490958059,0.018178813419269545,0.0,0.08430452334422207,0.10164765203218905,0.004753143207605029,0.012155913590058524,0.022213047068538393,0.009081176861456682,0.0032200686947988213,0.0019864020283910143,0.02309041620156275,0.008355252978492959,0.0006509326935594861,0.00330990240906299,0.10019917057732183,0.003014374098711449,0.0,0.012354800311948442,0.03378497272567306,0.0,0.03710946382282049,0.027811769941039042,0.010791603605974866,0.05341374659643231,0.07628085770917173,0.01929443750137035,0.0060526532743411495,0.060270771358566365,0.002463766121151218,0.0020316027088036117,0.0011790949649458252,0.0016418563922942207,0.0016556850819395177,0.017206994109735172,0.004422647458072426,0.006974195476736079
Fusobacteriia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6420234350066111,0.06042278536851514,0.6540796594162707,0.02206080172181867,0.006349876263740482,0.0011726078799249539,0.0022019299268182116,0.015855354659248963,0.2009864778713552,0.0004212959062074943,0.0,0.003764873024329604,3.4841182277451956e-05,0.0023086960886003955,0.0,0.0,0.0,0.0,0.0,0.00019824225203198307,0.0,0.0,0.0,0.0,0.0119276644863409,0.0,0.0,0.0008130893114417358,0.0,0.0,0.00554511957228524,0.0,0.0,0.0,0.10477866959512928,0.0,0.00042549899427510437,0.0,0.015935303350849653,0.0,0.00568451411824906,0.0,0.0,0.0,0.14677524680213574,0.0,0.0017799532762264988,0.0,0.0,0.0,0.0,0.003496935887218666,0.00016692201761027284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mollicutes,0.17687427165609215,0.0006002276725654559,0.002957827845176202,0.009125255486508246,0.005187656545456339,0.08528371779760906,0.00013130252100840325,0.0002334600070038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006861104758236336,0.0002772032326161586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033076574535568647,0.0,0.0,0.0,0.0,0.0,0.0,0.005857186513191403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014878461567073965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017118145233947987,0.0008331688921046286,0.0,0.0007213415761015362,0.22246844590037504,0.0009405568096313018,0.00927342256214149,0.004706654991243432,0.0036154755870924167,0.12531886276146748,0.00035030870955029116,0.0013284181860449675
