Family,ndc407,ndc408,ndc409,ndc410,ndc411,ndc412,ndc413,ndc414,ndc415,ndc416,ndc417,ndc418,ndc419,ndc420,ndc421,ndc422,ndc423,ndc424,ndc425,ndc426,ndc427,ndc428,ndc429,ndc430,ndc431,ndc432,ndc433,ndc434,ndc435,ndc436,ndc437,ndc438,ndc439,ndc440,ndc441,ndc442,ndc443,ndc444,ndc445,ndc446,ndc447,ndc448,ndc449,ndc450,ndc451,ndc452,ndc453,ndc454,ndc455,ndc456,ndc457,ndc458,ndc459,ndc460,ndc461,ndc462,ndc463,ndc464,ndc465,ndc466,ndc467,ndc468,ndc469,ndc471,ndc470,ndc472,ndc473,ndc474,ndc475
Acidaminococcaceae,0.02038909873685066,0.012260282483535598,0.007286735356910799,0.011600218459858003,0.004054893668043733,0.006413279260586627,0.007402277991356051,0.003724418951712324,0.07212653605093028,0.0,0.0,0.031175475036541275,0.01257124184262881,0.004201071997682168,0.020629023199550695,0.02105629715612304,0.07037576661132383,0.008549746217907656,0.004502349051679134,0.011267354930580276,0.0634832612023966,0.01731050580181146,0.0,0.030555099509294224,0.0315786818674805,0.0,0.12624178144646542,0.11537699068261414,0.06876476544043199,0.018730034702272882,0.027969252928467494,0.046899699148437106,0.0234842912682568,0.035170741682002744,0.0,0.0,0.033971701217505756,0.024839006439742413,0.011410694587605559,0.026523445569097293,0.02246111788392626,0.030920700827278158,0.0,0.0024238558443629406,0.02035401657758153,0.0282918844515541,0.051872159295866097,0.0115546218487395,0.0026063483198361724,0.01800529567519859,0.027343268875477278,0.0,0.0,0.01377961708126791,0.0,0.015198500596353727,0.030765707305901214,0.01568030801713966,0.01197512689239964,0.011407080256711064,0.008370225221956117,0.02006956457042949,0.007682169083035208,0.012295772275560043,0.009685585354220934,0.007856938249375951,0.0051542174588889815,0.020018397652109166,0.020152306208639555
Actinomycetaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.083948662712986e-05,0.0,0.00019775029953354194,0.000987646817498063,0.00015385798907608278,3.844416465635721e-05,9.657636776280845e-05,0.0003456171426102734,0.0,0.0,0.0006898930665746811,0.00032625717765790823,0.00026699893200427194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024221100402835148,0.0,0.00020448105629071364,0.00015592110392141574,0.00015785093132049478,0.0,0.0,0.0002170021157706287,0.0,0.0,0.0,0.0,0.0,0.0003098613370516694,0.0002604118226967504,0.0031383017098333453,0.0,0.0,0.0,0.0002463357556349304,0.003167341193031849,0.0,0.0,0.0,0.00037485091156926227,0.0,0.0007762528721356268,0.0,0.0005658684700848804,0.0006168807605776908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alcaligenaceae,0.0009341618943178589,0.001718924740090295,0.0008122157244964266,0.00515565264882578,0.007052462911893266,0.00792228614543054,0.0037966522600826193,0.003919074994484745,0.039752257809801114,0.012574592576221106,0.0,0.0,0.002585370073140023,0.006011878893234826,0.008705231779496263,0.019013348810214745,0.01761935418290245,0.008093924013206528,0.005111362449973895,0.005624777500889996,0.005304336294921098,0.023698640846092852,0.0,0.0493259636257502,0.0017151360758695482,0.0,0.003887315832413495,0.008304147668450846,0.006271796602542467,0.0034472456507250704,0.01502079689589794,0.0029957676814032948,0.006751077020069349,0.0036222358542926415,0.0,0.0,0.00855544587035209,0.013646120821833795,0.02509991139080272,0.03933071679405082,0.010417821123794746,0.002799534459438206,0.0,0.005868282570562908,0.05813773336431946,0.025501757779803205,0.0016954043719789337,0.05164793190003275,0.009997207483943032,0.00850838481906443,0.005706778338875888,0.0,0.0,0.010095957069443814,0.002781176994103905,0.007837791787357303,0.0014759396391582056,0.012606346643482579,0.0014501988530245436,0.005258436270788766,0.003380748481989501,0.0005022041180737684,0.0035398230088495566,0.006501600134748186,0.001137322522654731,0.007365879608789954,0.009599389129782651,0.00858557098427439,0.00781483821622161
Bacteroidaceae,0.005036351082409326,0.08333678498943792,0.051656920077972734,0.07825232113599127,0.1340185958295637,0.07516740545128738,0.10889706057928798,0.110629517642326,0.0,0.001896076401409843,0.0,0.16143549503807988,0.2502811229540496,0.12214496112801199,0.28681902622370065,0.30627974463145674,0.11354318435943482,0.40385847336519987,0.0995736906211936,0.24688501245995012,0.21554893852997545,0.4072771132777163,0.0,0.23210930516791628,0.11321159230206569,0.0,0.2128905312664971,0.348796228991828,0.09438632017099788,0.07535678992485002,0.3751818809800262,0.2020677170975473,0.34078491121151633,0.3262641311015687,0.0,0.0,0.05991444554129648,0.1660533578656854,0.37658908841027855,0.0,0.19871439654217002,0.19084017489226512,0.0,0.20519853292935733,0.30527151599659147,0.0007254329346552333,0.0528821874323642,0.0,0.12803686121195199,0.0009179170344218888,0.011331444759206801,0.0012317437972901636,0.4310194597734534,0.31320205557324127,0.0,0.35249616629749536,0.14812835585413642,0.09641060671924485,0.014721715629188548,0.15168035332275207,0.08292812734354212,0.007812064058925289,0.10182639804180002,0.09924204143506818,0.06607476978390872,0.2544502189303108,0.09452125773814395,0.34425511410924714,0.5382927072594857
Bifidobacteriaceae,0.006214207383940539,0.004680445677836225,0.009259259259259264,0.017826324412889137,0.008240590357637264,0.0031123266999905684,0.004823419852432007,0.005645025240400212,0.0,0.0004071329696278804,9.116739853828273e-05,0.00011539349180706209,0.0,0.0,0.0010584524992439622,0.004132327336041788,0.0011181513231457326,0.0008500468141723749,0.03471376370280144,0.0,0.007944449132620462,0.0005248992081839604,0.0,0.0038125467447417873,0.08675309607284282,0.0,0.058189758602485965,0.017753695015308706,0.002728090898863764,0.014547376646059797,0.00036743632328517463,0.028619142318086797,0.011321845119260269,0.012853094966844858,0.0,0.023491088597422723,0.09088515959197105,0.0004599816007359706,0.004484710392592993,0.0,0.012191067272525766,0.01676575131326476,0.0,0.0,0.0007359206754977148,0.0007626346236119119,0.0,0.0,0.0103788513450619,0.0,0.0,0.0,0.0,0.0038655691482104696,0.0,0.0011927074459021983,0.039494108965060955,0.10758864807799788,0.012128935861659819,1.3801670002070252e-05,0.03231971357379587,0.005859048044193965,0.005498022971191864,0.020784908202796017,0.009795648824155264,0.0069975856283504565,0.0032452480296708396,0.0036138245214420266,0.0027268797180007315
Christensenellaceae,0.09788392023069739,0.06635463695481092,0.11201615148983572,0.051010376843255066,0.0640062785450344,0.09601056304819394,0.047302944196375284,0.06414565462827185,0.0,0.0,0.0,0.0030194630356181248,0.017799648235893393,0.016490414795499543,0.0,0.0007196749854904239,0.0,0.02872911841521708,0.0823908125978771,0.00742257030971876,0.054538221359597835,0.0003797143208139288,0.0,0.0009303343731188094,0.1139808812772719,0.0,0.0021596199068963863,0.0,0.07303971200359995,0.09440856755452395,0.006011258248945458,0.007483045229718017,0.00047283807922664705,0.0042356790231647835,0.0,0.0,0.007015465613688714,0.011959521619135235,0.00018083509647552393,0.006858087172071886,0.013927370793158225,0.044069076153628386,0.0,0.01632913410939244,0.0010457820125493841,0.0,0.022545270903975182,0.0,0.0007819044959508517,0.0,0.10251673030340355,0.0,0.0,0.0022738642048296884,0.0,0.002351337536207191,0.04921495279537879,0.007483077687387443,0.07046648063105625,0.013284107376992618,0.011424389771875076,0.048434797165336774,0.07411033703633965,0.051507495368030974,0.11589683384084824,0.03249171338544013,0.07434072377212361,0.020675456656007715,0.01546340327890659
Clostridiaceae_1,0.0028431014174891355,0.0,0.0,0.0014636810486073186,0.0013734317262728774,0.0018862586060548903,0.0010745242245516849,0.0005580139892809406,0.0,0.06150034315493154,0.0,0.0011347026694361105,0.0008938268282603052,0.005818726157709209,0.0,0.0002785838653511318,0.0,0.001589217956930962,0.0010875239255263608,0.014150943396226414,0.007172909307904664,0.002456975017031304,0.019408778739922364,0.003757821193381857,0.0004792291976694326,0.0,0.0,0.0008810766756977024,0.004359320508493643,0.010203847126146208,0.00828936345331354,0.0,0.0036776295050961433,0.0,0.0,0.0026691157477829117,0.0551102336294834,0.0016865992026985589,0.03757753304761387,0.0,0.003546492297462041,0.0014469503947658145,0.0014705644705159903,0.0,0.06301804942288326,0.00029761351165342906,0.005735516917971286,0.000886718323693114,0.0009866890067951226,0.0011650485436893205,0.011824116270476661,0.004223121590709132,0.0013277457366914235,0.0031379326026649695,0.0,0.007837791787357303,0.0003817085273685015,0.024809041793454636,0.010612818878952341,0.0014353736802153062,0.007432808379901783,0.005617246061417706,0.0,0.0016169782718544713,0.0,0.0012685681548471586,0.003272519021516813,0.0,0.00046556482990256395
Clostridiales_vadinBB60_group,0.00219324966492019,0.0,0.0,0.0005898416166029493,0.0016459380211682893,0.023200980854475153,0.0,0.0,0.0,0.0,0.0,0.0,0.0002691091525945005,0.0,0.0,0.0,0.00013553349371463424,0.0001971123047356232,0.0018270401948842863,0.00044499822000711994,0.0021940663765355447,0.00036854625255469567,0.00847267841146611,0.0,0.0,0.0,0.0,0.0,0.0,0.0017006411876910347,0.0,0.0,0.0,0.0,0.00015592110392141574,0.0,0.001961171437973018,0.0,0.0,0.0,0.0,0.0005032870938315876,0.005704497341671918,0.0006697496412055494,0.0,0.006473093878462083,0.0,0.0006002400960384155,0.0010611561016475844,0.009285083848190646,0.0,0.0,0.0,0.0,0.0002224941595283124,0.0,0.0,0.0009625535614481773,0.0004833996176748478,0.0,0.0014031013377845515,0.003794431114335139,0.0,0.0007074279939363312,0.0,0.0012276466014649924,0.02200769041970057,0.0003066275351526568,0.0
Coriobacteriaceae,0.001990170992242395,0.0020088638528766097,0.006451313468857332,0.0011796832332058985,8.720201436653189e-05,0.001414693954541168,0.0005611404283769909,0.0019854916362786953,0.0,0.0,0.0020664610335344082,0.00017309023771059314,0.000759272251963055,0.0014003573325607225,0.0027649371408821873,0.0034126523505513644,0.0,0.0004681417237471051,0.0016530363668000687,0.0019579921680313275,0.00139841593229738,0.0016417060341072805,0.0,0.0003648370090661997,0.007957726940247684,0.0,0.0016557085952872295,0.00019824225203198307,0.0049218134773315325,0.0038838967664835793,0.0003380414174223607,0.001567997552394065,0.0,0.0009931937019834662,0.0,0.0025543150704589158,0.0,0.0013799448022079118,0.00016275158682797154,0.0,0.0019210166611252724,0.000723475197382907,0.0,0.0016265348429277625,0.00013556433496010535,3.720168895667863e-05,0.004040112545992353,0.0001637018443741133,0.00024201805827050172,0.0,0.0030381409861641416,0.0,0.0,0.0008640683978352815,0.0,0.0,0.00514034150189582,0.0,0.007031267166179603,0.0034918225105237738,0.0025340493988436513,0.0021204173874225783,0.002636038410845414,0.0003705575206333164,0.00763106724878013,0.0,0.0005454198369194688,0.00026282360155942014,0.0004988194606098899
Defluviitaleaceae,0.0007716989561756225,2.0709936627593915e-05,0.000580154088926019,0.0,5.450125897908243e-05,0.00018862586060548904,0.0002865397932137826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003480076561684355,0.0,0.00016877433665658036,5.5840341296166005e-05,0.0,0.0,0.00044139531364289846,0.0,0.0,0.0,0.0006468669141635729,0.0,0.0,0.00114731528223956,0.0,0.0001752694768206117,0.0,0.0,0.0,0.0,0.0,0.0,3.694262809856293e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018475181672619784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00039550877809760277,0.0007314885101097233,0.00020562692019256354,0.000706805795807526,0.0,0.00013474818932120595,0.0008805077594746304,0.0,0.0001363549592298672,0.0007227649042884054,0.000399055568487912
