Genus,ndc407,ndc408,ndc409,ndc410,ndc411,ndc412,ndc413,ndc414,ndc415,ndc416,ndc417,ndc418,ndc419,ndc420,ndc421,ndc422,ndc423,ndc424,ndc425,ndc426,ndc427,ndc428,ndc429,ndc430,ndc431,ndc432,ndc433,ndc434,ndc435,ndc436,ndc437,ndc438,ndc439,ndc440,ndc441,ndc442,ndc443,ndc444,ndc445,ndc446,ndc447,ndc448,ndc449,ndc450,ndc451,ndc452,ndc453,ndc454,ndc455,ndc456,ndc457,ndc458,ndc459,ndc460,ndc461,ndc462,ndc463,ndc464,ndc465,ndc466,ndc467,ndc468,ndc469,ndc471,ndc470,ndc472,ndc473,ndc474,ndc475
Actinomyces,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.400515685431891e-05,0.0,0.00020837163694306548,0.0010484209168037683,0.00016267767452264273,4.171838007530166e-05,9.952972206325115e-05,0.00037626696140911973,0.0,0.0,0.0007249660172179427,0.000373803827751196,0.00028420394475075307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002621991609626848,0.0,0.00021450021450021445,0.00016409583196586806,0.0001681648627163212,0.0,0.0,0.00022446689113355783,0.0,0.0,0.0,0.0,0.0,0.00031846499870623584,0.00026334104546395053,0.00353070086441297,0.0,0.0,0.0,0.0,0.0034883720930232553,0.0,0.0,0.0,0.00038761055710208255,0.0,0.0,0.0,0.0004218837107685818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Akkermansia,0.04310565361985162,0.0009057770904672482,0.001239815798795608,0.026060250214534123,0.007283150603954983,0.020334205758002814,0.0,0.00017458100558659227,0.0,0.5251087822516393,4.8388657698635454e-05,0.14716229131504568,0.01087806760463491,0.25218343327776255,0.21252028314088847,0.3594669897032103,0.40115690527838027,0.0023431937342222793,0.0,0.1934481517270126,0.0004508935891129694,0.0,0.5067120021195796,0.02406448121230864,0.16589362169283117,0.0,0.24417854608785403,0.2280803694302578,0.10272270073414652,0.3576414209813522,0.0909049016144145,0.42699823360565237,0.30879317836193776,0.03526996384139241,0.625082047915983,0.5190484926313216,0.0003587186569573485,0.015777262180974475,0.17401795735129072,0.5905727738397064,0.26661356395084196,0.004687276370402175,0.5826233656684943,0.0959963282022313,0.2836129854103221,0.3782517916596129,0.4338703786372306,0.12149463118233131,0.2412613696158762,0.7152674792925091,0.24682571314695673,0.0021317829457364336,0.0,0.2113767980571642,0.0,0.18460833715071004,0.307601835915089,0.0,0.40234622701331635,0.183059862285103,0.48670284469945746,0.060019607843137264,0.0007101432122144631,0.028654686741136477,0.0014084507042253526,0.007532564817512175,0.02535021393822167,0.0,0.0
Alistipes,0.0012364628634774452,0.0009499613387827237,0.001467537067962148,0.0029131475543110064,0.001628392018648434,0.0,0.00019753818042643554,0.0005103137086377313,0.0,0.0,0.0,0.00046769831425259785,0.0,0.0,0.0011993509394915692,0.001066020593579649,0.0,0.0002848080781927632,0.002990430622009568,0.00017052236685045186,0.007009345794392524,0.0011099308978505535,0.0,0.0027833616823875057,0.0013722691843231964,0.0,0.001128813777978456,0.0,0.0014162668362333087,0.006146473590999062,0.002073700864810064,0.0010901965113711634,0.0007060612643927871,0.0013789299503585214,0.0,0.0,0.0,0.0013921113689095127,0.0,0.0,0.0,0.0038643194504079,0.0,0.001518147154356729,0.0,0.0,0.0,0.0,0.0005355934751559801,0.0,0.0,0.0,0.0,0.0,0.0,0.0005637971739666656,0.0015777395295467588,0.0,0.0024307757345170154,0.0007006283053835376,0.001348034979779476,0.001627450980392157,0.0014597388251075072,0.0043363630056199275,0.0020735524256651023,0.003620625078030714,0.0008791981712678035,0.0008282036933407948,0.0020852953047221846
Anaerofilum,0.0012364628634774452,0.0005523031039434441,0.0006831638074996206,0.0001806603134456438,3.3460109972228096e-05,0.0,0.00016049977159647889,0.00018801031370863783,0.0,0.0010908868051725193,0.0,0.020416048152591664,0.009584797822300558,0.026226081763666677,0.005314770829903817,0.010199878861296188,0.005784526391901662,0.0005696161563855264,0.0004984051036682614,0.0009852403418026108,0.0009974312728862657,0.006229934716967623,0.01342400423915923,0.0037498067109942783,0.006765287078713358,0.0,0.0024511384893246475,0.0,0.002167755361581595,0.04039483279508281,0.0008909233345109907,0.007355376462795316,0.000787529871822724,0.0036465036465036455,0.0,0.0,0.14113785557986872,0.0020108275328692966,0.0,0.0013452682775391945,0.0007965407373691397,0.001252325747817375,0.0,0.00042366897330885456,0.0011146274954718252,0.001166224629911781,0.0013392313623635404,0.0030976812069042547,0.003777343456363228,0.0,0.0015942606616181749,0.0031007751937984496,0.0,0.0016813002054922473,0.0,0.0005990344973395823,0.01534710269650029,0.22740706175143888,0.031018812090467123,0.00802332414229535,0.07022916594656255,0.0019215686274509805,0.0001578096027143251,0.00045098175258447237,0.0008215962441314557,8.323276041449917e-05,0.0005275189027606821,0.0,0.0
Anaerotruncus,0.041826554105909436,0.002474317905666629,0.005085775011386065,0.0008129714105053973,0.00040152131966673715,0.01610630159049728,0.0016914206699013543,0.0028604426299957044,0.0,0.0,0.006193748185425338,0.002338491571262989,0.00029202866052711163,0.0006220607628953197,0.005596971050960657,0.0001211387038158692,0.0,0.0005178328694413877,0.013033293460925037,0.0015915420906042175,0.03107066732251189,0.002398882908257648,0.0044157908681444836,0.0014110097417658883,0.03348336809748599,0.0,0.0007095400890150295,0.0,0.0022833689808659467,0.011850192728409209,0.0003686579315217892,0.011564362994038417,0.0007332174668694327,0.0017772874915732055,0.0,0.0,0.012788320120529474,0.0015467904098994587,9.35278713056491e-05,0.023645677032131225,0.004248217265968745,0.012881064834693002,0.0,0.0067433978251659355,0.002806472801098703,0.0,0.002516131650501197,0.0015786259996723605,0.0011651507178831845,0.0,0.002903831919375961,0.0,0.0,0.0015878946385204558,0.023194748358862146,0.0011980689946791646,0.017068273092369482,0.009371597449058956,0.014399704079475797,0.013892027904594014,0.002931111956033322,0.0684313725490196,0.002051524835286227,0.0006938180808991883,0.0062597809076682335,0.0,0.01606001992849188,0.0019026301063234476,0.0020516615094847293
Bacteroides,0.005286944657627695,0.08889870761073675,0.056323060573857615,0.08089065534528703,0.1371306840361815,0.08022951479766456,0.11260910897934494,0.11448485174043839,0.0,0.001997916283630569,0.0,0.1706895499928829,0.2715970838852327,0.1258802159794969,0.3122545445993932,0.31963658388855243,0.12114967462039043,0.42438992815068916,0.11408492822966503,0.26279391424619636,0.24430234464666334,0.43523612884746204,0.0,0.24594093087985155,0.12318860467669333,0.0,0.2861381668064246,0.4842655738707606,0.09699982657957114,0.08539952078341492,0.3921137924148631,0.2187431000220798,0.35229741472952425,0.34225041367898507,0.0,0.0,0.08164436632349249,0.16751740139211138,0.3895435839880285,0.0,0.20402822030040962,0.217081723200229,0.0,0.22715718118909753,0.3137477359128997,0.0007335929123638622,0.05949433870378638,0.0,0.1292471622942194,0.0009404275328245378,0.01571485509309344,0.0013565891472868215,0.4496775031383923,0.32164206986736416,0.0,0.36449487296944927,0.16698221457257603,0.12074195053663092,0.017702388501373918,0.16558935647666834,0.09479105457813422,0.008235294117647061,0.10667929143488379,0.10219940331645044,0.07046165884194056,0.25877065212867795,0.10157669538714023,0.35182988248461117,0.5444302435086772
Bifidobacterium,0.006523407521105141,0.004992820059648734,0.01009564293304995,0.01842735197145567,0.008431947713001481,0.003321924703040063,0.004987839055767498,0.005841749033089818,0.0,0.0004290004290004289,0.0,0.00012200825589198204,0.0,0.0,0.0011523175693154291,0.004312537855844944,0.001193058568329718,0.0008932616997863937,0.03977272727272725,0.0,0.009004208340165056,0.000560932819343828,0.0,0.00403974021957631,0.09439839718959268,0.0,0.07821066890279302,0.024649071837059236,0.0028036302676455295,0.016486092301281383,0.00024577195434785946,0.030980900861117235,0.011704323267434277,0.013482870625727766,0.0,0.02502598911514707,0.12384761631452455,0.0004640371229698376,0.004638982416760195,0.0,0.012517068730086478,0.019071132102476025,0.0,0.0,0.0007563543719273101,0.0007712130617158551,0.0,0.0,0.01047696008419154,0.0,0.0,0.0,0.0,0.003502708761442182,0.0,0.001233306318052081,0.04452094090648309,0.13474101726551568,0.014584654407102092,0.0,0.036943071445853945,0.006176470588235294,0.005760050499072866,0.02140428779573996,0.010446009389671364,0.00711640101543968,0.0034874860793622877,0.0036933407946278685,0.002757971209471276
Bilophila,0.0018760126204485374,0.0,0.0002530236324072669,0.0012194571157580958,0.0006692021994445619,0.0025166096235151995,0.0,0.00012086377309841004,0.0,0.0,0.0,0.008642251459015395,0.008854726170982777,0.005822488740700192,0.009641840886108696,0.012016959418534225,0.008676789587852493,0.002770405851511424,0.0025169457735247196,0.002235737698705924,0.0070366726785811885,0.0038310518087099742,0.0,0.004329673728158342,0.00454221100010978,0.0,0.004708766045281559,0.003547509098137558,0.0052315162726169154,0.0037503906656943427,0.009354695012365402,0.0050645837933318595,0.012654790354116876,0.004810933382361954,0.10407778142435184,0.020210358955543333,0.0,0.005413766434648105,0.009053497942386834,0.01127955709629017,0.005006827492034592,0.0033276084156290252,0.0,0.012957209433695804,0.020720128978324467,0.007674510467806558,0.004869932226776511,0.009039867752840783,0.0027625347665940023,0.013165985459543532,0.005352160792575301,0.0,0.06540842387775421,0.00639828133756772,0.024245076586433257,0.0056379717396666555,0.00791738382099828,0.0,0.0009247516381314731,0.006750139372297308,0.001755901973661471,0.004098039215686275,0.0,0.0015957815860681332,0.00027386541471048517,0.0005826293229014943,0.003018580388019459,0.0,0.0
Blautia,0.01807793979704954,0.01988291174196398,0.035625727442943185,0.011471929903798384,0.008721935332760791,0.015602979665794237,0.00850648789461338,0.009360227761065753,0.0,0.003003003003003002,0.0,0.016247432742948945,0.019743223370636515,0.009330911443429795,0.0212355666345272,0.01603876438522108,0.0,0.0038578548773383382,0.030726674641148307,0.006877735462968226,0.01143630103295622,0.02654286362171646,0.0030027377903382494,0.004909540745322406,0.03322263695246458,0.0,0.021995742759465916,0.015076913667084621,0.02572403029076826,0.003646213147202834,0.01678929663138815,0.007051777434312209,0.010373669346078642,0.037629466200894766,0.0,0.030804745306671568,0.009308749148043192,0.014849187935034803,0.008585858585858587,0.009830806643555652,0.009217114246700044,0.014491197939029624,0.003256010122311261,0.04480299392741138,0.004279373420115044,0.0,0.06635282658982998,0.004140170074612417,0.001193339848154552,0.0,0.13460115014519164,0.021705426356589147,0.0,0.011675695871473938,0.0750109409190372,0.009972162514535397,0.015433161216293751,0.005716285580961271,0.00013210737687592472,0.02727930208380419,0.001507033977394491,0.01107843137254902,0.023671440407148768,0.007215708041351559,0.027503912363067297,0.006658620833159936,0.012806986694801008,0.001768326804700616,0.000975380061886183
Butyricicoccus,0.004007845143685512,0.013652932729481936,0.014852487222306567,0.007248995077006458,0.0018960728984262587,0.0018119589289309435,0.007271874266948159,0.006284916201117321,0.0,0.003836489550775264,0.0,0.01000467698314253,0.005089642369186803,0.00012441215257906393,0.007736989393975026,0.0014294367050272565,0.0,0.0002718622564567285,0.0012460127591706535,0.003088349532958184,0.0020221894299611957,0.007172779243098737,0.0,0.0014303386423380237,0.001125260731145021,0.0,0.007192156356834163,0.0,0.0010116191687380778,0.00023439941660589642,0.003993794258152716,0.001807794215058511,0.005322615685422549,0.004075504075504074,0.0,0.0,0.0,0.0,0.0040029928918817815,0.0,0.0006827492034592625,0.001323887219121225,0.0,0.011015393306030219,0.001910789992237415,0.0,0.00612799805202711,0.0011616304525890956,0.0,0.0,0.004384216819449981,0.0,0.0,0.0018681113394358306,0.0018380743982494526,0.0023961379893583288,0.0015490533562822725,0.0,0.0002113718030014796,0.0005876237399990961,0.0004493449932598252,0.006294117647058825,0.0166489130863613,0.00475265385415944,0.019170579029733962,0.0022889009113987273,0.0015532501025731196,0.006916620033575827,0.005986815552266917
